Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE221-23,,,ZMD,MON+WED,12:30 PM,09A-06C,"NAN,SMUR",SUN,2:00 PM,09F-24L
CSE221-24,,,MMM,SAT+THU,8:00 AM,10A-07C,"MTJ,ARD",SUN,11:00 AM,09F-25L
CSE221-25,,,MMM,SUN+TUE,8:00 AM,07H-26C,"ARD,PSM",SAT,8:00 AM,09B-08L
CSE221-28,,,DPU,MON+WED,12:30 PM,09D-17C,"NQM,RTF",SUN,8:00 AM,09F-24L
CSE221-29,,,EHD,MON+WED,12:30 PM,09A-01C,"MNW,MTJ",SAT,11:00 AM,09F-25L
CSE221-30,,,EHD,MON+WED,2:00 PM,07F-22C,"NFF,FDZ",SAT,2:00 PM,09F-25L
CSE221-31,,,SBDK,SAT+THU,3:30 PM,07D-20C,"ANV,AKDR",SAT,11:00 AM,09E-22L
CSE230-01,,,AVB,SUN+TUE,8:00 AM,09H-32C,,,,
CSE230-02,,,AVB,SUN+TUE,9:30 AM,09H-32C,,,,
CSE230-03,,,FIC,MON+WED,8:00 AM,09H-36C,,,,
CSE230-04,,,TSM,MON+WED,9:30 AM,09H-36C,,,,
CSE230-05,,,FIC,SUN+TUE,9:30 AM,09H-33C,,,,
CSE230-06,,,AMK,MON+WED,11:00 AM,09D-17C,,,,
CSE230-07,,,FHZ,SUN+TUE,9:30 AM,09H-37C,,,,
CSE230-08,,,FHZ,SUN+TUE,11:00 AM,09H-37C,,,,
CSE230-09,,,SMUR,SAT+THU,8:00 AM,09H-34C,,,,
CSE230-10,,,YND,SAT+THU,9:30 AM,09H-34C,,,,
CSE230-11,,,BAS,SAT+THU,11:00 AM,09H-34C,,,,
CSE230-12,,,QAR,SAT+THU,12:30 PM,09H-34C,,,,
CSE230-13,,,NFK,SAT+THU,2:00 PM,09H-34C,,,,
CSE230-14,,,NFK,SAT+THU,3:30 PM,09H-34C,,,,
CSE230-15,,,SADF,SUN+TUE,12:30 PM,09D-17C,,,,
CSE230-16,,,SADF,SUN+TUE,8:00 AM,09C-13C,,,,
CSE230-17,,,NNY,MON+WED,8:00 AM,10A-07C,,,,
CSE230-18,,,TSM,MON+WED,8:00 AM,09H-35C,,,,
CSE230-19,,,ADD,SAT+THU,8:00 AM,10A-08C,,,,
CSE230-20,,,ADD,SAT+THU,9:30 AM,09B-12C,,,,
CSE230-21,,,NFK,SAT+THU,11:00 AM,09H-32C,,,,
CSE230-22,,,BAS,SAT+THU,12:30 PM,09H-32C,,,,
CSE230-23,,,AHF,SAT+THU,2:00 PM,09H-32C,,,,
CSE230-24,,,AHF,SAT+THU,3:30 PM,09H-32C,,,,
CSE230-25,,,FDZ,SUN+TUE,8:00 AM,09A-02C,,,,
CSE230-26,,,FDZ,MON+WED,8:00 AM,09C-13C,,,,
CSE230-27,,,MSDH,MON+WED,8:00 AM,07H-27C,,,,
CSE230-28,,,QAR,SAT+THU,8:00 AM,07H-27C,,,,
CSE230-29,,,TSM,MON+WED,2:00 PM,10A-05C,,,,
CSE230-30,,,NNY,MON+WED,3:30 PM,07D-20C ,,,,
CSE230-31,,,TSM,SUN+TUE,3:30 PM,07D-20C ,,,,
CSE250-01,,,KRP,SUN+TUE,8:00 AM,07H-27C,"SDAS,MHY",MON,8:00 AM,12B-20L
