Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE111-22,,,RAK,MON+WED,12:30 PM,09H-34C,"ADU,MAU",TUE,11:00 AM,09B-08L
CSE111-24,,,MAU,SAT+THU,11:00 AM,09A-01C,"ANK,SBHN",WED,11:00 AM,09F-27L
CSE111-25,,,RHS,SAT+THU,8:00 AM,09A-05C,"RHS,MNRS",WED,2:00 PM,09F-27L
CSE111-26,,,AFA,SAT+THU,9:30 AM,09A-05C,"SSMT,AOH",TUE,8:00 AM,10G-34L
CSE220-01,,,PNP,SUN+TUE,11:00 AM,09H-32C,"EHD,MMP",MON,8:00 AM,09B-10L
CSE220-02,,,PNP,SUN+TUE,12:30 PM,09H-32C,"MNRS,KKS",MON,11:00 AM,09B-11L
CSE220-03,,,MZG,MON+WED,11:00 AM,10A-10C,"AHU,TJW",SUN,8:00 AM,09B-10L
CSE220-04,,,SSMT,MON+WED,12:30 PM,10A-10C,"AYO,SADF",SUN,2:00 PM,09B-10L
CSE220-05,,,MDF,MON+WED,2:00 PM,09A-04C,"NNY,NDT",SUN,8:00 AM,09B-11L
CSE220-06,,,MDF,SUN+TUE,3:30 PM,09A-04C,"NFF,ANV",MON,8:00 AM,09F-27L
CSE220-07,,,MUNR,SUN+TUE,9:30 AM,09D-17C,"RTF,MNW",MON,11:00 AM,09B-08L
CSE220-08,,,MUNR,SUN+TUE,11:00 AM,09D-17C,"NSQ,DBY",MON,11:00 AM,09B-09L
CSE220-12,,,MTF,SAT+THU,11:00 AM,09H-37C,"AIB,RTF",SUN,11:00 AM,09E-22L
CSE220-13,,,MTF,SAT+THU,12:30 PM,09H-37C,"AJA,SHMK",MON,11:00 AM,09E-22L
CSE220-14,,,MTF,MON+WED,8:00 AM,09D-18C,"MHE,AJK",SUN,8:00 AM,09B-08L
CSE220-15,,,MTF,MON+WED,9:30 AM,09D-18C,"NNY,TJW",SUN,2:00 PM,09B-08L
CSE220-16,,,JMA,SUN+TUE,9:30 AM,10A-07C,"AJK,MNRS",MON,8:00 AM,09B-09L
CSE220-17,,,JMA,SUN+TUE,11:00 AM,10A-07C,"RAK,PSM",MON,8:00 AM,09B-11L
CSE220-18,,,NSB,MON+WED,9:30 AM,10A-08C,"MHV,MNP",SUN,8:00 AM,09B-09L
CSE220-19,,,NSB,MON+WED,12:30 PM,10A-08C,"HAS,MHV",SUN,2:00 PM,09B-09L
CSE220-20,,,AYO,SUN+TUE,11:00 AM,09H-33C,"NWN,WBH",MON,11:00 AM,09B-10L
CSE220-21,,,AYO,SUN+TUE,12:30 PM,09H-33C,"SUE,KKS",MON,2:00 PM,09B-11L
CSE220-22,,,AIB,SAT+THU,8:00 AM,09H-37C,"SHAH,NWN",SUN,2:00 PM,09E-21L
CSE220-23,,,AIB,SAT+THU,9:30 AM,09H-37C,"MAF,HJB",SUN,8:00 AM,09E-22L
CSE220-24,,,SWG,SUN+TUE,11:00 AM,09D-18C,"SBDK,DBY",MON,2:00 PM,09B-09L
CSE220-25,,,AHU,SAT+THU,11:00 AM,09A-05C,"AJK,NNY",MON,11:00 AM,09E-21L
