.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6578.15it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 4731.03it/s]
[entity_heavy/rrf] Q106: 4.08s gen, 0.016s retrieval, 0.141s rerank
[entity_heavy/rrf] Q107: 5.81s gen, 0.022s retrieval, 0.070s rerank
[entity_heavy/rrf] Q108: 4.44s gen, 0.016s retrieval, 0.135s rerank
[entity_heavy/rrf] Q109: 4.06s gen, 0.018s retrieval, 0.052s rerank
[entity_heavy/rrf] Q110: 5.06s gen, 0.018s retrieval, 0.093s rerank
[entity_heavy/rrf] Q111: 5.56s gen, 0.015s retrieval, 0.130s rerank
[entity_heavy/rrf] Q112: 4.67s gen, 0.018s retrieval, 0.135s rerank
[entity_heavy/rrf] Q113: 3.78s gen, 0.019s retrieval, 0.052s rerank
[entity_heavy/rrf] Q114: 4.39s gen, 0.016s retrieval, 0.139s rerank
[entity_heavy/rrf] Q115: 4.66s gen, 0.016s retrieval, 0.141s rerank
[entity_heavy/rrf] Q116: 4.06s gen, 0.016s retrieval, 0.272s rerank
[entity_heavy/rrf] Q117: 5.32s gen, 0.016s retrieval, 0.145s rerank
[entity_heavy/rrf] Q118: 4.07s gen, 0.016s retrieval, 0.134s rerank
[entity_heavy/rrf] Q119: 3.93s gen, 0.016s retrieval, 0.139s rerank
[entity_heavy/rrf] Q120: 4.86s gen, 0.018s retrieval, 0.092s rerank
[entity_heavy/rrf] Q121: 5.67s gen, 0.019s retrieval, 0.090s rerank
[entity_heavy/rrf] Q122: 4.66s gen, 0.021s retrieval, 0.102s rerank
[entity_heavy/rrf] Q123: 5.11s gen, 0.016s retrieval, 0.140s rerank
[entity_heavy/rrf] Q124: 8.86s gen, 0.019s retrieval, 0.091s rerank
[entity_heavy/rrf] Q125: 5.24s gen, 0.015s retrieval, 0.140s rerank
