.\.venv\Scripts\python.exe : 
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[bm25_only] BQ089: 13.16s gen, 0.025s retrieval
[bm25_only] BQ090: 10.15s gen, 0.027s retrieval
[bm25_only] BQ091: 11.11s gen, 0.025s retrieval
[bm25_only] BQ092: 6.40s gen, 0.026s retrieval
[bm25_only] BQ093: 12.40s gen, 0.024s retrieval
[bm25_only] BQ094: 5.43s gen, 0.029s retrieval
[bm25_only] BQ095: 5.83s gen, 0.027s retrieval
[bm25_only] BQ096: 7.43s gen, 0.025s retrieval
[bm25_only] BQ097: 7.08s gen, 0.033s retrieval
[bm25_only] BQ098: 11.02s gen, 0.033s retrieval
[bm25_only] BQ099: 6.65s gen, 0.024s retrieval
[bm25_only] BQ100: 7.50s gen, 0.038s retrieval
[vector_only] BQ001: 9.11s gen, 0.025s retrieval
[vector_only] BQ002: 4.04s gen, 0.033s retrieval
[vector_only] BQ003: 5.60s gen, 0.030s retrieval
[vector_only] BQ004: 3.82s gen, 0.022s retrieval
[vector_only] BQ005: 5.48s gen, 0.026s retrieval
[vector_only] BQ006: 12.13s gen, 0.029s retrieval
[vector_only] BQ007: 5.42s gen, 0.020s retrieval
[vector_only] BQ008: 4.54s gen, 0.021s retrieval
[vector_only] BQ009: 4.01s gen, 0.033s retrieval
[vector_only] BQ010: 4.66s gen, 0.024s retrieval
[vector_only] BQ011: 7.10s gen, 0.025s retrieval
[vector_only] BQ012: 13.03s gen, 0.026s retrieval
[vector_only] BQ013: 5.30s gen, 0.029s retrieval
[vector_only] BQ014: 8.17s gen, 0.019s retrieval
[vector_only] BQ015: 5.40s gen, 0.031s retrieval
[vector_only] BQ016: 3.95s gen, 0.018s retrieval
[vector_only] BQ017: 8.08s gen, 0.025s retrieval
[vector_only] BQ018: 4.33s gen, 0.021s retrieval
[vector_only] BQ019: 3.98s gen, 0.029s retrieval
[vector_only] BQ020: 5.42s gen, 0.087s retrieval
[vector_only] BQ021: 5.32s gen, 0.028s retrieval
[vector_only] BQ022: 6.57s gen, 0.031s retrieval
[vector_only] BQ023: 6.34s gen, 0.027s retrieval
[vector_only] BQ024: 4.91s gen, 0.027s retrieval
[vector_only] BQ025: 5.29s gen, 0.030s retrieval
[vector_only] BQ026: 7.97s gen, 0.026s retrieval
[vector_only] BQ027: 9.73s gen, 0.032s retrieval
[vector_only] BQ028: 4.23s gen, 0.021s retrieval
[vector_only] BQ029: 13.21s gen, 0.031s retrieval
[vector_only] BQ030: 4.87s gen, 0.022s retrieval
[vector_only] BQ031: 9.85s gen, 0.022s retrieval
[vector_only] BQ032: 4.04s gen, 0.021s retrieval
[vector_only] BQ033: 4.11s gen, 0.027s retrieval
[vector_only] BQ034: 9.40s gen, 0.022s retrieval
[vector_only] BQ035: 7.62s gen, 0.023s retrieval
[vector_only] BQ036: 5.43s gen, 0.022s retrieval
[vector_only] BQ037: 5.77s gen, 0.022s retrieval
[vector_only] BQ038: 4.71s gen, 0.038s retrieval
[vector_only] BQ039: 4.24s gen, 0.029s retrieval
[vector_only] BQ040: 9.19s gen, 0.037s retrieval
[vector_only] BQ041: 9.55s gen, 0.024s retrieval
[vector_only] BQ042: 6.52s gen, 0.022s retrieval
[vector_only] BQ043: 4.21s gen, 0.026s retrieval
[vector_only] BQ044: 7.88s gen, 0.035s retrieval
[vector_only] BQ045: 4.57s gen, 0.035s retrieval
[vector_only] BQ046: 15.52s gen, 0.025s retrieval
