.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6696.50it/s]
[entity_heavy/rrf] Q157: 0.00s gen, 0.021s retrieval, 0.158s rerank [ABSTAINED]
[entity_heavy/rrf] Q158: 0.00s gen, 0.020s retrieval, 0.051s rerank [ABSTAINED]
[entity_heavy/rrf] Q159: 0.00s gen, 0.019s retrieval, 0.153s rerank [ABSTAINED]
[entity_heavy/rrf] Q160: 4.86s gen, 0.020s retrieval, 0.111s rerank
[entity_heavy/rrf] Q161: 0.00s gen, 0.020s retrieval, 0.055s rerank [ABSTAINED]
[entity_heavy/rrf] Q162: 0.00s gen, 0.025s retrieval, 0.114s rerank [ABSTAINED]
[entity_heavy/rrf] Q163: 4.66s gen, 0.021s retrieval, 0.126s rerank
[entity_heavy/rrf] Q164: 4.90s gen, 0.022s retrieval, 0.179s rerank
[entity_heavy/rrf] Q165: 4.98s gen, 0.019s retrieval, 0.202s rerank
[entity_heavy/rrf] Q166: 6.40s gen, 0.018s retrieval, 0.232s rerank
[entity_heavy/rrf] Q167: 4.53s gen, 0.019s retrieval, 0.200s rerank
[entity_heavy/rrf] Q168: 4.58s gen, 0.021s retrieval, 0.243s rerank
[entity_heavy/rrf] Q169: 0.00s gen, 0.018s retrieval, 0.190s rerank [ABSTAINED]
[entity_heavy/rrf] Q170: 6.17s gen, 0.021s retrieval, 0.132s rerank
[entity_heavy/rrf] Q171: 4.49s gen, 0.018s retrieval, 0.209s rerank
[entity_heavy/rrf] Q172: 4.75s gen, 0.021s retrieval, 0.153s rerank
[entity_heavy/rrf] Q173: 4.39s gen, 0.021s retrieval, 0.273s rerank
[entity_heavy/rrf] Q174: 4.66s gen, 0.019s retrieval, 0.176s rerank
[entity_heavy/rrf] Q175: 4.98s gen, 0.018s retrieval, 0.213s rerank
[entity_heavy/rrf] Q176: 4.96s gen, 0.020s retrieval, 0.188s rerank
[entity_heavy/rrf] Q177: 4.31s gen, 0.019s retrieval, 0.166s rerank
[entity_heavy/rrf] Q178: 5.95s gen, 0.022s retrieval, 0.263s rerank
[entity_heavy/rrf] Q179: 9.34s gen, 0.019s retrieval, 0.233s rerank
[entity_heavy/rrf] Q180: 4.38s gen, 0.017s retrieval, 0.225s rerank
[open_ended/linear] Q181: 0.00s gen, 0.018s retrieval, 0.097s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.026s retrieval, 0.079s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.020s retrieval, 0.119s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.021s retrieval, 0.115s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.016s retrieval, 0.147s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.017s retrieval, 0.057s rerank [ABSTAINED]
[open_ended/linear] Q187: 0.00s gen, 0.014s retrieval, 0.199s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.017s retrieval, 0.086s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.019s retrieval, 0.158s rerank [ABSTAINED]
[open_ended/linear] Q190: 5.49s gen, 0.021s retrieval, 0.074s rerank
[open_ended/linear] Q191: 0.00s gen, 0.018s retrieval, 0.210s rerank [ABSTAINED]
[open_ended/linear] Q192: 0.00s gen, 0.014s retrieval, 0.140s rerank [ABSTAINED]
[open_ended/linear] Q193: 0.00s gen, 0.019s retrieval, 0.110s rerank [ABSTAINED]
[open_ended/linear] Q194: 0.00s gen, 0.015s retrieval, 0.157s rerank [ABSTAINED]
[open_ended/linear] Q195: 0.00s gen, 0.018s retrieval, 0.100s rerank [ABSTAINED]
[open_ended/linear] Q196: 0.00s gen, 0.018s retrieval, 0.106s rerank [ABSTAINED]
[open_ended/linear] Q197: 0.00s gen, 0.015s retrieval, 0.158s rerank [ABSTAINED]
[open_ended/linear] Q198: 0.00s gen, 0.019s retrieval, 0.185s rerank [ABSTAINED]
[open_ended/linear] Q199: 0.00s gen, 0.020s retrieval, 0.140s rerank [ABSTAINED]
[open_ended/linear] Q200: 0.00s gen, 0.016s retrieval, 0.143s rerank [ABSTAINED]
Wrote metadata to results\novel_pipeline_raw_outputs_roundB_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundB.csv (45 abstained)
