.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] Q120: 4.46s gen, 0.018s retrieval
[bm25_only] Q121: 5.23s gen, 0.019s retrieval
[bm25_only] Q122: 4.39s gen, 0.019s retrieval
[bm25_only] Q123: 5.36s gen, 0.017s retrieval
[bm25_only] Q124: 4.53s gen, 0.017s retrieval
[bm25_only] Q125: 4.12s gen, 0.018s retrieval
[bm25_only] Q126: 4.02s gen, 0.015s retrieval
[bm25_only] Q127: 4.65s gen, 0.019s retrieval
[bm25_only] Q128: 3.91s gen, 0.015s retrieval
[bm25_only] Q129: 3.96s gen, 0.018s retrieval
[bm25_only] Q130: 4.65s gen, 0.019s retrieval
[bm25_only] Q131: 4.14s gen, 0.017s retrieval
[bm25_only] Q132: 4.13s gen, 0.017s retrieval
[bm25_only] Q133: 4.06s gen, 0.017s retrieval
[bm25_only] Q134: 5.62s gen, 0.017s retrieval
[bm25_only] Q135: 3.91s gen, 0.017s retrieval
[bm25_only] Q136: 4.07s gen, 0.017s retrieval
[bm25_only] Q137: 4.01s gen, 0.016s retrieval
[bm25_only] Q138: 4.67s gen, 0.017s retrieval
[bm25_only] Q139: 4.05s gen, 0.019s retrieval
[bm25_only] Q140: 4.76s gen, 0.017s retrieval
[bm25_only] Q141: 4.10s gen, 0.016s retrieval
[bm25_only] Q142: 3.79s gen, 0.017s retrieval
[bm25_only] Q143: 6.35s gen, 0.018s retrieval
[bm25_only] Q144: 5.95s gen, 0.018s retrieval
[bm25_only] Q145: 8.21s gen, 0.019s retrieval
[bm25_only] Q146: 4.21s gen, 0.018s retrieval
[bm25_only] Q147: 4.86s gen, 0.018s retrieval
[bm25_only] Q148: 3.97s gen, 0.017s retrieval
[bm25_only] Q149: 4.81s gen, 0.018s retrieval
[bm25_only] Q150: 4.95s gen, 0.019s retrieval
[bm25_only] Q151: 5.10s gen, 0.021s retrieval
[bm25_only] Q152: 5.58s gen, 0.022s retrieval
[bm25_only] Q153: 5.40s gen, 0.021s retrieval
[bm25_only] Q154: 4.77s gen, 0.021s retrieval
[bm25_only] Q155: 4.94s gen, 0.022s retrieval
[bm25_only] Q156: 4.91s gen, 0.022s retrieval
[bm25_only] Q157: 5.50s gen, 0.021s retrieval
[bm25_only] Q158: 4.73s gen, 0.021s retrieval
[bm25_only] Q159: 4.93s gen, 0.021s retrieval
[bm25_only] Q160: 4.81s gen, 0.021s retrieval
[bm25_only] Q161: 4.73s gen, 0.021s retrieval
[bm25_only] Q162: 4.82s gen, 0.022s retrieval
[bm25_only] Q163: 4.92s gen, 0.021s retrieval
[bm25_only] Q164: 4.91s gen, 0.021s retrieval
[bm25_only] Q165: 5.05s gen, 0.022s retrieval
[bm25_only] Q166: 7.39s gen, 0.020s retrieval
[bm25_only] Q167: 4.94s gen, 0.019s retrieval
[bm25_only] Q168: 7.52s gen, 0.019s retrieval
[bm25_only] Q169: 6.14s gen, 0.020s retrieval
[bm25_only] Q170: 6.67s gen, 0.019s retrieval
[bm25_only] Q171: 6.27s gen, 0.019s retrieval
[bm25_only] Q172: 4.42s gen, 0.020s retrieval
[bm25_only] Q173: 4.52s gen, 0.019s retrieval
[bm25_only] Q174: 4.52s gen, 0.022s retrieval
[bm25_only] Q175: 4.57s gen, 0.020s retrieval
[bm25_only] Q176: 4.78s gen, 0.021s retrieval
[bm25_only] Q177: 4.45s gen, 0.018s retrieval
[bm25_only] Q178: 4.88s gen, 0.019s retrieval
[bm25_only] Q179: 4.65s gen, 0.022s retrieval
[bm25_only] Q180: 4.71s gen, 0.020s retrieval
[bm25_only] Q181: 3.93s gen, 0.017s retrieval
[bm25_only] Q182: 5.22s gen, 0.021s retrieval
[bm25_only] Q183: 4.57s gen, 0.020s retrieval
[bm25_only] Q184: 5.40s gen, 0.018s retrieval
[bm25_only] Q185: 5.07s gen, 0.018s retrieval
[bm25_only] Q186: 3.67s gen, 0.015s retrieval
[bm25_only] Q187: 3.78s gen, 0.015s retrieval
[bm25_only] Q188: 4.26s gen, 0.021s retrieval
[bm25_only] Q189: 5.63s gen, 0.020s retrieval
[bm25_only] Q190: 5.41s gen, 0.020s retrieval
