query_id,config,type,both_hit@3,both_hit@5,both_hit@10
COMPOUND-B-CSE331-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-20,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-21,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-22,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-23,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-24,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-25,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE340-26,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE341-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-01A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-01B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-02A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-02B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-03A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-03B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-04A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-04B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-05A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-05B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-06A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-06B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-07A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-07B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-08A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-08B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-09A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-09B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE350-10A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE360-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE370-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE391-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE402-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-20,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-23,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-24,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-25,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE420-26,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-11,bm25_only,faculty_room,False,False,False
