route,signal,threshold,tp,fp,fn,tn,precision,recall,f1,accuracy
open_ended,query_confidence,0.0112,13,24,172,163,0.35135135135135137,0.07027027027027027,0.11711711711711713,0.4731182795698925
open_ended,query_confidence,0.012,13,24,172,163,0.35135135135135137,0.07027027027027027,0.11711711711711713,0.4731182795698925
open_ended,query_confidence,0.0121,14,24,171,163,0.3684210526315789,0.07567567567567568,0.12556053811659193,0.47580645161290325
open_ended,query_confidence,0.0123,16,25,169,162,0.3902439024390244,0.08648648648648649,0.14159292035398233,0.478494623655914
open_ended,query_confidence,0.0126,17,25,168,162,0.40476190476190477,0.0918918918918919,0.1497797356828194,0.48118279569892475
open_ended,query_confidence,0.0128,18,25,167,162,0.4186046511627907,0.0972972972972973,0.15789473684210528,0.4838709677419355
open_ended,query_confidence,0.0129,19,25,166,162,0.4318181818181818,0.10270270270270271,0.16593886462882096,0.48655913978494625
open_ended,query_confidence,0.013,19,25,166,162,0.4318181818181818,0.10270270270270271,0.16593886462882096,0.48655913978494625
open_ended,query_confidence,0.0133,19,26,166,161,0.4222222222222222,0.10270270270270271,0.16521739130434782,0.4838709677419355
open_ended,query_confidence,0.0135,19,27,166,160,0.41304347826086957,0.10270270270270271,0.1645021645021645,0.48118279569892475
open_ended,query_confidence,0.0136,20,29,165,158,0.40816326530612246,0.10810810810810811,0.17094017094017094,0.478494623655914
open_ended,query_confidence,0.0137,20,30,165,157,0.4,0.10810810810810811,0.1702127659574468,0.47580645161290325
open_ended,query_confidence,0.014,20,30,165,157,0.4,0.10810810810810811,0.1702127659574468,0.47580645161290325
open_ended,query_confidence,0.0141,22,30,163,157,0.4230769230769231,0.11891891891891893,0.1856540084388186,0.48118279569892475
open_ended,query_confidence,0.0143,22,30,163,157,0.4230769230769231,0.11891891891891893,0.1856540084388186,0.48118279569892475
open_ended,query_confidence,0.0147,22,31,163,156,0.41509433962264153,0.11891891891891893,0.18487394957983194,0.478494623655914
open_ended,query_confidence,0.015,22,33,163,154,0.4,0.11891891891891893,0.18333333333333335,0.4731182795698925
open_ended,query_confidence,0.0151,22,33,163,154,0.4,0.11891891891891893,0.18333333333333335,0.4731182795698925
open_ended,query_confidence,0.0152,25,33,160,154,0.43103448275862066,0.13513513513513514,0.205761316872428,0.48118279569892475
open_ended,query_confidence,0.0157,25,34,160,153,0.423728813559322,0.13513513513513514,0.20491803278688528,0.478494623655914
open_ended,query_confidence,0.0158,26,34,159,153,0.43333333333333335,0.14054054054054055,0.21224489795918366,0.48118279569892475
open_ended,query_confidence,0.0165,26,34,159,153,0.43333333333333335,0.14054054054054055,0.21224489795918366,0.48118279569892475
open_ended,query_confidence,0.0166,27,34,158,153,0.4426229508196721,0.14594594594594595,0.21951219512195125,0.4838709677419355
open_ended,query_confidence,0.0168,37,35,148,152,0.5138888888888888,0.2,0.2879377431906615,0.5080645161290323
open_ended,query_confidence,0.0169,38,35,147,152,0.5205479452054794,0.20540540540540542,0.29457364341085274,0.510752688172043
open_ended,query_confidence,0.0174,39,36,146,151,0.52,0.21081081081081082,0.3,0.510752688172043
open_ended,query_confidence,0.0175,40,36,145,151,0.5263157894736842,0.21621621621621623,0.30651340996168586,0.5134408602150538
open_ended,query_confidence,0.0181,40,36,145,151,0.5263157894736842,0.21621621621621623,0.30651340996168586,0.5134408602150538
open_ended,query_confidence,0.0182,41,36,144,151,0.5324675324675324,0.22162162162162163,0.3129770992366412,0.5161290322580645
open_ended,query_confidence,0.0184,42,36,143,151,0.5384615384615384,0.22702702702702704,0.3193916349809886,0.5188172043010753
open_ended,query_confidence,0.0195,42,37,143,150,0.5316455696202531,0.22702702702702704,0.3181818181818182,0.5161290322580645
open_ended,query_confidence,0.0204,42,38,143,149,0.525,0.22702702702702704,0.31698113207547174,0.5134408602150538
open_ended,query_confidence,0.0206,42,39,143,148,0.5185185185185185,0.22702702702702704,0.3157894736842105,0.510752688172043
open_ended,query_confidence,0.0218,43,39,142,148,0.524390243902439,0.23243243243243245,0.32209737827715357,0.5134408602150538
open_ended,query_confidence,0.0219,44,40,141,147,0.5238095238095238,0.23783783783783785,0.3271375464684015,0.5134408602150538
open_ended,query_confidence,0.022,44,40,141,147,0.5238095238095238,0.23783783783783785,0.3271375464684015,0.5134408602150538
open_ended,query_confidence,0.0224,45,40,140,147,0.5294117647058824,0.24324324324324326,0.33333333333333337,0.5161290322580645
open_ended,query_confidence,0.0228,45,42,140,145,0.5172413793103449,0.24324324324324326,0.33088235294117646,0.510752688172043
open_ended,query_confidence,0.023,46,42,139,145,0.5227272727272727,0.24864864864864866,0.336996336996337,0.5134408602150538
open_ended,query_confidence,0.0236,47,42,138,145,0.5280898876404494,0.25405405405405407,0.3430656934306569,0.5161290322580645
open_ended,query_confidence,0.0237,50,42,135,145,0.5434782608695652,0.2702702702702703,0.3610108303249097,0.5241935483870968
open_ended,query_confidence,0.0244,50,42,135,145,0.5434782608695652,0.2702702702702703,0.3610108303249097,0.5241935483870968
open_ended,query_confidence,0.0259,50,44,135,143,0.5319148936170213,0.2702702702702703,0.3584229390681004,0.5188172043010753
open_ended,query_confidence,0.0262,50,45,135,142,0.5263157894736842,0.2702702702702703,0.35714285714285715,0.5161290322580645
open_ended,query_confidence,0.0265,51,45,134,142,0.53125,0.2756756756756757,0.36298932384341637,0.5188172043010753
open_ended,query_confidence,0.0269,51,45,134,142,0.53125,0.2756756756756757,0.36298932384341637,0.5188172043010753
open_ended,query_confidence,0.0271,53,45,132,142,0.5408163265306123,0.2864864864864865,0.37455830388692585,0.5241935483870968
open_ended,query_confidence,0.0272,53,45,132,142,0.5408163265306123,0.2864864864864865,0.37455830388692585,0.5241935483870968
open_ended,query_confidence,0.0273,54,47,131,140,0.5346534653465347,0.2918918918918919,0.37762237762237766,0.521505376344086
open_ended,query_confidence,0.0275,54,47,131,140,0.5346534653465347,0.2918918918918919,0.37762237762237766,0.521505376344086
open_ended,query_confidence,0.0276,56,47,129,140,0.5436893203883495,0.3027027027027027,0.3888888888888889,0.5268817204301075
open_ended,query_confidence,0.028,57,47,128,140,0.5480769230769231,0.3081081081081081,0.39446366782006925,0.5295698924731183
open_ended,query_confidence,0.0291,58,47,127,140,0.5523809523809524,0.31351351351351353,0.4,0.532258064516129
open_ended,query_confidence,0.0295,58,47,127,140,0.5523809523809524,0.31351351351351353,0.4,0.532258064516129
open_ended,query_confidence,0.031,59,48,126,139,0.5514018691588785,0.31891891891891894,0.4041095890410959,0.532258064516129
open_ended,query_confidence,0.0311,60,48,125,139,0.5555555555555556,0.32432432432432434,0.4095563139931741,0.5349462365591398
open_ended,query_confidence,0.0325,60,50,125,137,0.5454545454545454,0.32432432432432434,0.4067796610169491,0.5295698924731183
open_ended,query_confidence,0.0329,60,50,125,137,0.5454545454545454,0.32432432432432434,0.4067796610169491,0.5295698924731183
open_ended,query_confidence,0.033,61,51,124,136,0.5446428571428571,0.32972972972972975,0.41077441077441074,0.5295698924731183
open_ended,query_confidence,0.0349,62,51,123,136,0.5486725663716814,0.33513513513513515,0.4161073825503356,0.532258064516129
open_ended,query_confidence,0.0351,63,51,122,136,0.5526315789473685,0.34054054054054056,0.4214046822742476,0.5349462365591398
open_ended,query_confidence,0.0355,63,51,122,136,0.5526315789473685,0.34054054054054056,0.4214046822742476,0.5349462365591398
open_ended,query_confidence,0.0363,63,52,122,135,0.5478260869565217,0.34054054054054056,0.41999999999999993,0.532258064516129
open_ended,query_confidence,0.0366,63,54,122,133,0.5384615384615384,0.34054054054054056,0.4172185430463577,0.5268817204301075
open_ended,query_confidence,0.0367,63,55,122,132,0.5338983050847458,0.34054054054054056,0.4158415841584159,0.5241935483870968
open_ended,query_confidence,0.0371,64,55,121,132,0.5378151260504201,0.34594594594594597,0.42105263157894735,0.5268817204301075
open_ended,query_confidence,0.0383,65,55,120,132,0.5416666666666666,0.35135135135135137,0.4262295081967213,0.5295698924731183
open_ended,query_confidence,0.0389,66,55,119,132,0.5454545454545454,0.3567567567567568,0.4313725490196078,0.532258064516129
open_ended,query_confidence,0.0396,66,55,119,132,0.5454545454545454,0.3567567567567568,0.4313725490196078,0.532258064516129
open_ended,query_confidence,0.0402,67,56,118,131,0.5447154471544715,0.3621621621621622,0.43506493506493504,0.532258064516129
open_ended,query_confidence,0.0405,67,56,118,131,0.5447154471544715,0.3621621621621622,0.43506493506493504,0.532258064516129
open_ended,query_confidence,0.0422,67,57,118,130,0.5403225806451613,0.3621621621621622,0.4336569579288026,0.5295698924731183
open_ended,query_confidence,0.0423,67,59,118,128,0.5317460317460317,0.3621621621621622,0.43086816720257237,0.5241935483870968
open_ended,query_confidence,0.0429,68,59,117,128,0.5354330708661418,0.3675675675675676,0.43589743589743596,0.5268817204301075
open_ended,query_confidence,0.0444,69,60,116,127,0.5348837209302325,0.372972972972973,0.43949044585987257,0.5268817204301075
open_ended,query_confidence,0.0453,70,60,115,127,0.5384615384615384,0.3783783783783784,0.4444444444444445,0.5295698924731183
open_ended,query_confidence,0.0475,70,60,115,127,0.5384615384615384,0.3783783783783784,0.4444444444444445,0.5295698924731183
open_ended,query_confidence,0.0478,70,62,115,125,0.5303030303030303,0.3783783783783784,0.4416403785488959,0.5241935483870968
open_ended,query_confidence,0.0482,70,62,115,125,0.5303030303030303,0.3783783783783784,0.4416403785488959,0.5241935483870968
open_ended,query_confidence,0.0492,70,63,115,124,0.5263157894736842,0.3783783783783784,0.44025157232704404,0.521505376344086
open_ended,query_confidence,0.0499,70,65,115,122,0.5185185185185185,0.3783783783783784,0.4375,0.5161290322580645
open_ended,query_confidence,0.0503,71,65,114,122,0.5220588235294118,0.3837837837837838,0.442367601246106,0.5188172043010753
open_ended,query_confidence,0.0513,71,65,114,122,0.5220588235294118,0.3837837837837838,0.442367601246106,0.5188172043010753
open_ended,query_confidence,0.0515,72,65,113,122,0.5255474452554745,0.3891891891891892,0.44720496894409945,0.521505376344086
open_ended,query_confidence,0.0517,73,65,112,122,0.5289855072463768,0.3945945945945946,0.4520123839009288,0.5241935483870968
open_ended,query_confidence,0.0521,73,67,112,120,0.5214285714285715,0.3945945945945946,0.4492307692307692,0.5188172043010753
open_ended,query_confidence,0.0523,73,68,112,119,0.5177304964539007,0.3945945945945946,0.44785276073619634,0.5161290322580645
open_ended,query_confidence,0.0536,73,68,112,119,0.5177304964539007,0.3945945945945946,0.44785276073619634,0.5161290322580645
open_ended,query_confidence,0.0548,74,68,111,119,0.5211267605633803,0.4,0.4525993883792049,0.5188172043010753
open_ended,query_confidence,0.0551,75,68,110,119,0.5244755244755245,0.40540540540540543,0.4573170731707317,0.521505376344086
open_ended,query_confidence,0.0553,75,70,110,117,0.5172413793103449,0.40540540540540543,0.4545454545454546,0.5161290322580645
open_ended,query_confidence,0.0556,75,70,110,117,0.5172413793103449,0.40540540540540543,0.4545454545454546,0.5161290322580645
open_ended,query_confidence,0.0557,75,72,110,115,0.5102040816326531,0.40540540540540543,0.4518072289156627,0.510752688172043
open_ended,query_confidence,0.0588,75,72,110,115,0.5102040816326531,0.40540540540540543,0.4518072289156627,0.510752688172043
open_ended,query_confidence,0.0593,75,74,110,113,0.5033557046979866,0.40540540540540543,0.4491017964071856,0.5053763440860215
open_ended,query_confidence,0.0604,75,75,110,112,0.5,0.40540540540540543,0.4477611940298507,0.5026881720430108
open_ended,query_confidence,0.062,75,75,110,112,0.5,0.40540540540540543,0.4477611940298507,0.5026881720430108
open_ended,query_confidence,0.0622,75,76,110,111,0.4966887417218543,0.40540540540540543,0.4464285714285715,0.5
open_ended,query_confidence,0.0623,76,76,109,111,0.5,0.41081081081081083,0.4510385756676558,0.5026881720430108
open_ended,query_confidence,0.0624,77,77,108,110,0.5,0.41621621621621624,0.45427728613569324,0.5026881720430108
open_ended,query_confidence,0.0646,77,77,108,110,0.5,0.41621621621621624,0.45427728613569324,0.5026881720430108
open_ended,query_confidence,0.0664,77,78,108,109,0.4967741935483871,0.41621621621621624,0.45294117647058824,0.5
open_ended,query_confidence,0.0666,77,79,108,108,0.4935897435897436,0.41621621621621624,0.45161290322580655,0.49731182795698925
open_ended,query_confidence,0.0685,78,79,107,108,0.4968152866242038,0.42162162162162165,0.456140350877193,0.5
open_ended,query_confidence,0.0686,78,81,107,106,0.49056603773584906,0.42162162162162165,0.4534883720930233,0.4946236559139785
open_ended,query_confidence,0.0689,78,81,107,106,0.49056603773584906,0.42162162162162165,0.4534883720930233,0.4946236559139785
open_ended,query_confidence,0.0721,78,82,107,105,0.4875,0.42162162162162165,0.4521739130434783,0.49193548387096775
open_ended,query_confidence,0.0752,79,83,106,104,0.4876543209876543,0.42702702702702705,0.4553314121037464,0.49193548387096775
open_ended,query_confidence,0.0768,79,83,106,104,0.4876543209876543,0.42702702702702705,0.4553314121037464,0.49193548387096775
open_ended,query_confidence,0.0775,80,84,105,103,0.4878048780487805,0.43243243243243246,0.4584527220630372,0.49193548387096775
open_ended,query_confidence,0.0778,81,84,104,103,0.4909090909090909,0.43783783783783786,0.4628571428571429,0.4946236559139785
open_ended,query_confidence,0.0779,82,84,103,103,0.4939759036144578,0.44324324324324327,0.4672364672364672,0.49731182795698925
open_ended,query_confidence,0.078,82,84,103,103,0.4939759036144578,0.44324324324324327,0.4672364672364672,0.49731182795698925
open_ended,query_confidence,0.079,83,84,102,103,0.49700598802395207,0.4486486486486487,0.4715909090909091,0.5
open_ended,query_confidence,0.0792,84,85,101,102,0.4970414201183432,0.4540540540540541,0.4745762711864407,0.5
open_ended,query_confidence,0.0801,84,85,101,102,0.4970414201183432,0.4540540540540541,0.4745762711864407,0.5
open_ended,query_confidence,0.0805,85,85,100,102,0.5,0.4594594594594595,0.47887323943661975,0.5026881720430108
open_ended,query_confidence,0.0808,86,86,99,101,0.5,0.4648648648648649,0.48179271708683474,0.5026881720430108
open_ended,query_confidence,0.0817,86,87,99,100,0.49710982658959535,0.4648648648648649,0.48044692737430167,0.5
open_ended,query_confidence,0.0828,86,88,99,99,0.4942528735632184,0.4648648648648649,0.479108635097493,0.49731182795698925
open_ended,query_confidence,0.0866,86,89,99,98,0.49142857142857144,0.4648648648648649,0.47777777777777775,0.4946236559139785
open_ended,query_confidence,0.0912,87,89,98,98,0.4943181818181818,0.4702702702702703,0.4819944598337951,0.49731182795698925
