python : 
At line:7 char:1
+ python -u scripts/run_novel_pipeline.py --out results/novel_pipeline_ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4346.04it/s]
[entity_heavy/rrf] Q141: 4.47s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q142: 4.14s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q143: 5.07s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q144: 8.19s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q145: 8.78s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q146: 4.35s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q147: 4.99s gen, 0.025s retrieval, 0.000s rerank
[entity_heavy/rrf] Q148: 4.05s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q149: 4.93s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q150: 5.31s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q151: 5.10s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q152: 5.04s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q153: 5.59s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q154: 4.93s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q155: 4.72s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q156: 4.82s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q157: 5.89s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q158: 4.86s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q159: 5.46s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q160: 4.71s gen, 0.020s retrieval, 0.000s rerank
