.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q155: 4.24s gen, 0.023s retrieval
[full_hybrid] Q156: 4.77s gen, 0.019s retrieval
[full_hybrid] Q157: 4.65s gen, 0.021s retrieval
[full_hybrid] Q158: 4.58s gen, 0.024s retrieval
[full_hybrid] Q159: 5.64s gen, 0.023s retrieval
[full_hybrid] Q160: 4.78s gen, 0.021s retrieval
[full_hybrid] Q161: 4.62s gen, 0.024s retrieval
[full_hybrid] Q162: 4.79s gen, 0.020s retrieval
[full_hybrid] Q163: 4.69s gen, 0.019s retrieval
[full_hybrid] Q164: 4.67s gen, 0.023s retrieval
[full_hybrid] Q165: 8.05s gen, 0.020s retrieval
[full_hybrid] Q166: 4.40s gen, 0.022s retrieval
[full_hybrid] Q167: 4.99s gen, 0.023s retrieval
[full_hybrid] Q168: 6.73s gen, 0.020s retrieval
[full_hybrid] Q169: 4.45s gen, 0.018s retrieval
[full_hybrid] Q170: 4.31s gen, 0.022s retrieval
[full_hybrid] Q171: 4.37s gen, 0.019s retrieval
[full_hybrid] Q172: 4.55s gen, 0.025s retrieval
[full_hybrid] Q173: 4.42s gen, 0.021s retrieval
[full_hybrid] Q174: 4.46s gen, 0.017s retrieval
[full_hybrid] Q175: 4.42s gen, 0.018s retrieval
[full_hybrid] Q176: 4.25s gen, 0.021s retrieval
[full_hybrid] Q177: 4.89s gen, 0.018s retrieval
[full_hybrid] Q178: 5.36s gen, 0.020s retrieval
[full_hybrid] Q179: 4.67s gen, 0.018s retrieval
[full_hybrid] Q180: 4.16s gen, 0.017s retrieval
[full_hybrid] Q181: 3.80s gen, 0.018s retrieval
[full_hybrid] Q182: 5.07s gen, 0.021s retrieval
[full_hybrid] Q183: 4.52s gen, 0.019s retrieval
[full_hybrid] Q184: 5.16s gen, 0.017s retrieval
[full_hybrid] Q185: 5.05s gen, 0.017s retrieval
[full_hybrid] Q186: 3.58s gen, 0.018s retrieval
[full_hybrid] Q187: 3.75s gen, 0.017s retrieval
[full_hybrid] Q188: 4.11s gen, 0.021s retrieval
[full_hybrid] Q189: 5.56s gen, 0.020s retrieval
[full_hybrid] Q190: 5.30s gen, 0.022s retrieval
[full_hybrid] Q191: 4.35s gen, 0.017s retrieval
[full_hybrid] Q192: 4.29s gen, 0.014s retrieval
[full_hybrid] Q193: 4.80s gen, 0.018s retrieval
[full_hybrid] Q194: 4.04s gen, 0.015s retrieval
[full_hybrid] Q195: 8.04s gen, 0.017s retrieval
[full_hybrid] Q196: 4.76s gen, 0.017s retrieval
[full_hybrid] Q197: 4.57s gen, 0.015s retrieval
[full_hybrid] Q198: 4.81s gen, 0.020s retrieval
[full_hybrid] Q199: 5.20s gen, 0.017s retrieval
[full_hybrid] Q200: 4.43s gen, 0.017s retrieval
[bm25_only] Q001: 10.06s gen, 0.029s retrieval
[bm25_only] Q002: 6.33s gen, 0.028s retrieval
[bm25_only] Q003: 8.62s gen, 0.018s retrieval
[bm25_only] Q004: 6.80s gen, 0.022s retrieval
[bm25_only] Q005: 8.03s gen, 0.018s retrieval
[bm25_only] Q006: 5.07s gen, 0.017s retrieval
[bm25_only] Q007: 9.25s gen, 0.022s retrieval
[bm25_only] Q008: 4.39s gen, 0.020s retrieval
[bm25_only] Q009: 3.71s gen, 0.015s retrieval
[bm25_only] Q010: 4.63s gen, 0.017s retrieval
[bm25_only] Q011: 8.27s gen, 0.019s retrieval
[bm25_only] Q012: 4.68s gen, 0.021s retrieval
[bm25_only] Q013: 7.87s gen, 0.020s retrieval
[bm25_only] Q014: 8.23s gen, 0.022s retrieval
[bm25_only] Q015: 9.11s gen, 0.021s retrieval
[bm25_only] Q016: 7.55s gen, 0.022s retrieval
[bm25_only] Q017: 8.08s gen, 0.021s retrieval
[bm25_only] Q018: 4.01s gen, 0.019s retrieval
[bm25_only] Q019: 3.76s gen, 0.018s retrieval
[bm25_only] Q020: 3.55s gen, 0.017s retrieval
[bm25_only] Q021: 8.74s gen, 0.019s retrieval
[bm25_only] Q022: 10.66s gen, 0.022s retrieval
[bm25_only] Q023: 5.72s gen, 0.021s retrieval
[bm25_only] Q024: 8.24s gen, 0.023s retrieval
[bm25_only] Q025: 7.24s gen, 0.020s retrieval
[bm25_only] Q026: 6.32s gen, 0.019s retrieval
[bm25_only] Q027: 6.59s gen, 0.024s retrieval
[bm25_only] Q028: 6.29s gen, 0.023s retrieval
[bm25_only] Q029: 3.92s gen, 0.017s retrieval
[bm25_only] Q030: 4.75s gen, 0.019s retrieval
[bm25_only] Q031: 4.59s gen, 0.020s retrieval
[bm25_only] Q032: 10.93s gen, 0.019s retrieval
[bm25_only] Q033: 4.01s gen, 0.016s retrieval
[bm25_only] Q034: 11.56s gen, 0.019s retrieval
[bm25_only] Q035: 7.50s gen, 0.020s retrieval
[bm25_only] Q036: 6.95s gen, 0.019s retrieval
[bm25_only] Q037: 4.17s gen, 0.018s retrieval
[bm25_only] Q038: 8.34s gen, 0.018s retrieval
[bm25_only] Q039: 8.37s gen, 0.026s retrieval
[bm25_only] Q040: 5.29s gen, 0.018s retrieval
[bm25_only] Q041: 5.30s gen, 0.023s retrieval
[bm25_only] Q042: 5.11s gen, 0.019s retrieval
[bm25_only] Q043: 5.58s gen, 0.018s retrieval
[bm25_only] Q044: 4.60s gen, 0.022s retrieval
[bm25_only] Q045: 6.84s gen, 0.017s retrieval
[bm25_only] Q046: 7.58s gen, 0.016s retrieval
[bm25_only] Q047: 5.33s gen, 0.021s retrieval
[bm25_only] Q048: 9.52s gen, 0.020s retrieval
[bm25_only] Q049: 12.12s gen, 0.023s retrieval
[bm25_only] Q050: 5.72s gen, 0.024s retrieval
[bm25_only] Q051: 13.87s gen, 0.014s retrieval
[bm25_only] Q052: 7.42s gen, 0.023s retrieval
[bm25_only] Q053: 6.59s gen, 0.023s retrieval
[bm25_only] Q054: 3.57s gen, 0.019s retrieval
[bm25_only] Q055: 7.56s gen, 0.022s retrieval
[bm25_only] Q056: 4.50s gen, 0.020s retrieval
[bm25_only] Q057: 7.31s gen, 0.020s retrieval
[bm25_only] Q058: 10.80s gen, 0.028s retrieval
[bm25_only] Q059: 14.48s gen, 0.021s retrieval
[bm25_only] Q060: 7.48s gen, 0.026s retrieval
[bm25_only] Q061: 10.81s gen, 0.020s retrieval
[bm25_only] Q062: 6.64s gen, 0.016s retrieval
[bm25_only] Q063: 8.64s gen, 0.020s retrieval
[bm25_only] Q064: 7.73s gen, 0.019s retrieval
[bm25_only] Q065: 6.76s gen, 0.019s retrieval
[bm25_only] Q066: 3.91s gen, 0.020s retrieval
[bm25_only] Q067: 7.62s gen, 0.017s retrieval
[bm25_only] Q068: 9.11s gen, 0.024s retrieval
[bm25_only] Q069: 4.67s gen, 0.018s retrieval
[bm25_only] Q070: 6.33s gen, 0.025s retrieval
[bm25_only] Q071: 6.05s gen, 0.026s retrieval
[bm25_only] Q072: 4.73s gen, 0.022s retrieval
[bm25_only] Q073: 10.94s gen, 0.022s retrieval
[bm25_only] Q074: 5.92s gen, 0.022s retrieval
[bm25_only] Q075: 4.96s gen, 0.023s retrieval
[bm25_only] Q076: 6.20s gen, 0.022s retrieval
[bm25_only] Q077: 8.76s gen, 0.021s retrieval
[bm25_only] Q078: 10.63s gen, 0.022s retrieval
[bm25_only] Q079: 3.92s gen, 0.018s retrieval
[bm25_only] Q080: 8.93s gen, 0.023s retrieval
[bm25_only] Q081: 5.69s gen, 0.021s retrieval
[bm25_only] Q082: 9.05s gen, 0.020s retrieval
[bm25_only] Q083: 4.11s gen, 0.023s retrieval
[bm25_only] Q084: 6.45s gen, 0.035s retrieval
[bm25_only] Q085: 10.31s gen, 0.029s retrieval
[bm25_only] Q086: 5.90s gen, 0.027s retrieval
[bm25_only] Q087: 5.81s gen, 0.020s retrieval
[bm25_only] Q088: 7.63s gen, 0.024s retrieval
[bm25_only] Q089: 11.59s gen, 0.024s retrieval
[bm25_only] Q090: 8.97s gen, 0.018s retrieval
[bm25_only] Q091: 5.87s gen, 0.017s retrieval
[bm25_only] Q092: 9.01s gen, 0.021s retrieval
[bm25_only] Q093: 8.22s gen, 0.017s retrieval
[bm25_only] Q094: 5.21s gen, 0.021s retrieval
[bm25_only] Q095: 5.24s gen, 0.019s retrieval
[bm25_only] Q096: 7.18s gen, 0.021s retrieval
[bm25_only] Q097: 8.39s gen, 0.020s retrieval
[bm25_only] Q098: 5.11s gen, 0.021s retrieval
[bm25_only] Q099: 5.92s gen, 0.020s retrieval
[bm25_only] Q100: 4.93s gen, 0.019s retrieval
[bm25_only] Q101: 4.47s gen, 0.014s retrieval
[bm25_only] Q102: 5.46s gen, 0.016s retrieval
[bm25_only] Q103: 6.58s gen, 0.016s retrieval
[bm25_only] Q104: 4.18s gen, 0.017s retrieval
[bm25_only] Q105: 3.64s gen, 0.017s retrieval
[bm25_only] Q106: 3.71s gen, 0.016s retrieval
[bm25_only] Q107: 4.91s gen, 0.019s retrieval
[bm25_only] Q108: 4.29s gen, 0.016s retrieval
[bm25_only] Q109: 3.94s gen, 0.016s retrieval
[bm25_only] Q110: 4.52s gen, 0.019s retrieval
[bm25_only] Q111: 5.40s gen, 0.015s retrieval
[bm25_only] Q112: 4.57s gen, 0.014s retrieval
[bm25_only] Q113: 3.67s gen, 0.017s retrieval
[bm25_only] Q114: 6.14s gen, 0.014s retrieval
[bm25_only] Q115: 4.65s gen, 0.017s retrieval
[bm25_only] Q116: 4.74s gen, 0.016s retrieval
[bm25_only] Q117: 5.12s gen, 0.018s retrieval
[bm25_only] Q118: 3.95s gen, 0.017s retrieval
[bm25_only] Q119: 4.32s gen, 0.014s retrieval
[bm25_only] Q120: 4.39s gen, 0.018s retrieval
[bm25_only] Q121: 5.03s gen, 0.017s retrieval
[bm25_only] Q122: 4.21s gen, 0.019s retrieval
[bm25_only] Q123: 4.16s gen, 0.014s retrieval
[bm25_only] Q124: 4.34s gen, 0.020s retrieval
[bm25_only] Q125: 4.44s gen, 0.014s retrieval
[bm25_only] Q126: 4.28s gen, 0.014s retrieval
[bm25_only] Q127: 4.57s gen, 0.019s retrieval
[bm25_only] Q128: 4.02s gen, 0.014s retrieval
[bm25_only] Q129: 6.05s gen, 0.020s retrieval
[bm25_only] Q130: 4.50s gen, 0.019s retrieval
[bm25_only] Q131: 3.82s gen, 0.017s retrieval
[bm25_only] Q132: 4.97s gen, 0.015s retrieval
[bm25_only] Q133: 3.92s gen, 0.015s retrieval
[bm25_only] Q134: 3.84s gen, 0.018s retrieval
[bm25_only] Q135: 3.82s gen, 0.016s retrieval
[bm25_only] Q136: 5.44s gen, 0.015s retrieval
[bm25_only] Q137: 3.98s gen, 0.014s retrieval
[bm25_only] Q138: 4.60s gen, 0.017s retrieval
[bm25_only] Q139: 3.96s gen, 0.016s retrieval
[bm25_only] Q140: 3.99s gen, 0.016s retrieval
[bm25_only] Q141: 4.49s gen, 0.016s retrieval
[bm25_only] Q142: 3.75s gen, 0.015s retrieval
[bm25_only] Q143: 6.21s gen, 0.017s retrieval
[bm25_only] Q144: 7.78s gen, 0.017s retrieval
[bm25_only] Q145: 8.31s gen, 0.017s retrieval
[bm25_only] Q146: 4.01s gen, 0.015s retrieval
[bm25_only] Q147: 4.74s gen, 0.015s retrieval
[bm25_only] Q148: 3.87s gen, 0.016s retrieval
[bm25_only] Q149: 4.63s gen, 0.017s retrieval
[bm25_only] Q150: 6.84s gen, 0.017s retrieval
[bm25_only] Q151: 4.95s gen, 0.019s retrieval
[bm25_only] Q152: 4.86s gen, 0.023s retrieval
[bm25_only] Q153: 5.29s gen, 0.019s retrieval
[bm25_only] Q154: 5.94s gen, 0.022s retrieval
[bm25_only] Q155: 4.90s gen, 0.022s retrieval
[bm25_only] Q156: 4.79s gen, 0.021s retrieval
[bm25_only] Q157: 4.64s gen, 0.019s retrieval
[bm25_only] Q158: 4.44s gen, 0.019s retrieval
[bm25_only] Q159: 5.75s gen, 0.021s retrieval
[bm25_only] Q160: 4.69s gen, 0.020s retrieval
[bm25_only] Q161: 4.66s gen, 0.019s retrieval
[bm25_only] Q162: 4.72s gen, 0.019s retrieval
[bm25_only] Q163: 5.52s gen, 0.022s retrieval
[bm25_only] Q164: 4.72s gen, 0.020s retrieval
[bm25_only] Q165: 9.21s gen, 0.021s retrieval
[bm25_only] Q166: 4.43s gen, 0.019s retrieval
[bm25_only] Q167: 4.78s gen, 0.020s retrieval
[bm25_only] Q168: 5.40s gen, 0.023s retrieval
[bm25_only] Q169: 4.42s gen, 0.017s retrieval
[bm25_only] Q170: 6.10s gen, 0.021s retrieval
[bm25_only] Q171: 4.56s gen, 0.018s retrieval
[bm25_only] Q172: 4.22s gen, 0.018s retrieval
[bm25_only] Q173: 4.39s gen, 0.018s retrieval
[bm25_only] Q174: 4.42s gen, 0.021s retrieval
[bm25_only] Q175: 4.99s gen, 0.018s retrieval
[bm25_only] Q176: 4.28s gen, 0.020s retrieval
[bm25_only] Q177: 4.79s gen, 0.018s retrieval
[bm25_only] Q178: 5.10s gen, 0.017s retrieval
[bm25_only] Q179: 4.64s gen, 0.020s retrieval
[bm25_only] Q180: 4.63s gen, 0.019s retrieval
[bm25_only] Q181: 3.80s gen, 0.015s retrieval
[bm25_only] Q182: 5.11s gen, 0.018s retrieval
[bm25_only] Q183: 4.46s gen, 0.018s retrieval
[bm25_only] Q184: 5.20s gen, 0.020s retrieval
[bm25_only] Q185: 4.97s gen, 0.015s retrieval
