.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[vector_only] Q157: 5.18s gen, 0.022s retrieval
[vector_only] Q158: 5.67s gen, 0.023s retrieval
[vector_only] Q159: 3.84s gen, 0.022s retrieval
[vector_only] Q160: 5.25s gen, 0.023s retrieval
[vector_only] Q161: 5.15s gen, 0.024s retrieval
[vector_only] Q162: 5.08s gen, 0.023s retrieval
[vector_only] Q163: 5.21s gen, 0.022s retrieval
[vector_only] Q164: 5.24s gen, 0.022s retrieval
[vector_only] Q165: 3.71s gen, 0.022s retrieval
[vector_only] Q166: 4.98s gen, 0.020s retrieval
[vector_only] Q167: 3.99s gen, 0.021s retrieval
[vector_only] Q168: 5.10s gen, 0.020s retrieval
[vector_only] Q169: 6.10s gen, 0.020s retrieval
[vector_only] Q170: 5.08s gen, 0.021s retrieval
[vector_only] Q171: 5.79s gen, 0.019s retrieval
[vector_only] Q172: 6.11s gen, 0.021s retrieval
[vector_only] Q173: 5.49s gen, 0.020s retrieval
[vector_only] Q174: 5.47s gen, 0.021s retrieval
[vector_only] Q175: 5.02s gen, 0.020s retrieval
[vector_only] Q176: 5.58s gen, 0.019s retrieval
[vector_only] Q177: 5.70s gen, 0.020s retrieval
[vector_only] Q178: 5.53s gen, 0.021s retrieval
[vector_only] Q179: 5.74s gen, 0.021s retrieval
[vector_only] Q180: 5.25s gen, 0.020s retrieval
[vector_only] Q181: 3.69s gen, 0.017s retrieval
[vector_only] Q182: 5.20s gen, 0.023s retrieval
[vector_only] Q183: 5.29s gen, 0.021s retrieval
[vector_only] Q184: 4.64s gen, 0.026s retrieval
[vector_only] Q185: 5.06s gen, 0.019s retrieval
[vector_only] Q186: 3.56s gen, 0.017s retrieval
[vector_only] Q187: 3.71s gen, 0.016s retrieval
[vector_only] Q188: 5.03s gen, 0.021s retrieval
[vector_only] Q189: 3.83s gen, 0.023s retrieval
[vector_only] Q190: 5.29s gen, 0.025s retrieval
[vector_only] Q191: 3.92s gen, 0.017s retrieval
[vector_only] Q192: 5.98s gen, 0.015s retrieval
[vector_only] Q193: 4.88s gen, 0.021s retrieval
[vector_only] Q194: 3.95s gen, 0.018s retrieval
[vector_only] Q195: 3.75s gen, 0.019s retrieval
[vector_only] Q196: 4.91s gen, 0.019s retrieval
[vector_only] Q197: 3.88s gen, 0.016s retrieval
[vector_only] Q198: 3.68s gen, 0.022s retrieval
[vector_only] Q199: 4.76s gen, 0.019s retrieval
[vector_only] Q200: 3.81s gen, 0.019s retrieval
[no_retrieval] Q001: 15.33s gen, 0.000s retrieval
[no_retrieval] Q002: 12.49s gen, 0.000s retrieval
[no_retrieval] Q003: 12.29s gen, 0.000s retrieval
[no_retrieval] Q004: 11.56s gen, 0.000s retrieval
[no_retrieval] Q005: 11.19s gen, 0.000s retrieval
[no_retrieval] Q006: 7.95s gen, 0.000s retrieval
[no_retrieval] Q007: 10.43s gen, 0.000s retrieval
[no_retrieval] Q008: 8.26s gen, 0.000s retrieval
[no_retrieval] Q009: 13.74s gen, 0.000s retrieval
[no_retrieval] Q010: 7.87s gen, 0.000s retrieval
[no_retrieval] Q011: 9.73s gen, 0.000s retrieval
[no_retrieval] Q012: 9.96s gen, 0.000s retrieval
[no_retrieval] Q013: 18.60s gen, 0.000s retrieval
[no_retrieval] Q014: 12.84s gen, 0.000s retrieval
[no_retrieval] Q015: 11.88s gen, 0.000s retrieval
[no_retrieval] Q016: 16.03s gen, 0.000s retrieval
[no_retrieval] Q017: 8.47s gen, 0.000s retrieval
[no_retrieval] Q018: 4.56s gen, 0.000s retrieval
[no_retrieval] Q019: 11.62s gen, 0.000s retrieval
[no_retrieval] Q020: 9.10s gen, 0.000s retrieval
[no_retrieval] Q021: 10.48s gen, 0.000s retrieval
[no_retrieval] Q022: 13.84s gen, 0.000s retrieval
