Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 4649.00it/s]
[entity_heavy/rrf] Q142: 3.84s gen, 0.017s retrieval, 0.013s rerank
[entity_heavy/rrf] Q143: 4.82s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q144: 7.37s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q145: 7.95s gen, 0.020s retrieval, 0.025s rerank
[entity_heavy/rrf] Q146: 4.13s gen, 0.017s retrieval, 0.030s rerank
[entity_heavy/rrf] Q147: 4.75s gen, 0.016s retrieval, 0.011s rerank
[entity_heavy/rrf] Q148: 3.89s gen, 0.014s retrieval, 0.019s rerank
[entity_heavy/rrf] Q149: 4.64s gen, 0.015s retrieval, 0.011s rerank
[entity_heavy/rrf] Q150: 4.90s gen, 0.017s retrieval, 0.014s rerank
[entity_heavy/rrf] Q151: 4.94s gen, 0.021s retrieval, 0.026s rerank
[entity_heavy/rrf] Q152: 4.75s gen, 0.020s retrieval, 0.025s rerank
[entity_heavy/rrf] Q153: 5.46s gen, 0.025s retrieval, 0.013s rerank
[entity_heavy/rrf] Q154: 5.32s gen, 0.022s retrieval, 0.020s rerank
[entity_heavy/rrf] Q155: 4.77s gen, 0.020s retrieval, 0.017s rerank
[entity_heavy/rrf] Q156: 4.75s gen, 0.019s retrieval, 0.015s rerank
[entity_heavy/rrf] Q157: 5.37s gen, 0.021s retrieval, 0.017s rerank
[entity_heavy/rrf] Q158: 4.62s gen, 0.020s retrieval, 0.014s rerank
[entity_heavy/rrf] Q159: 4.88s gen, 0.019s retrieval, 0.025s rerank
[entity_heavy/rrf] Q160: 4.78s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q161: 4.62s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q162: 4.83s gen, 0.025s retrieval, 0.015s rerank
[entity_heavy/rrf] Q163: 4.57s gen, 0.025s retrieval, 0.015s rerank
[entity_heavy/rrf] Q164: 4.76s gen, 0.024s retrieval, 0.019s rerank
[entity_heavy/rrf] Q165: 5.66s gen, 0.023s retrieval, 0.019s rerank
[entity_heavy/rrf] Q166: 6.55s gen, 0.020s retrieval, 0.037s rerank
[entity_heavy/rrf] Q167: 5.87s gen, 0.021s retrieval, 0.034s rerank
[entity_heavy/rrf] Q168: 5.30s gen, 0.018s retrieval, 0.065s rerank
[entity_heavy/rrf] Q169: 4.97s gen, 0.019s retrieval, 0.020s rerank
[entity_heavy/rrf] Q170: 6.85s gen, 0.021s retrieval, 0.036s rerank
[entity_heavy/rrf] Q171: 4.87s gen, 0.023s retrieval, 0.044s rerank
[entity_heavy/rrf] Q172: 7.87s gen, 0.019s retrieval, 0.035s rerank
[entity_heavy/rrf] Q173: 5.33s gen, 0.018s retrieval, 0.059s rerank
[entity_heavy/rrf] Q174: 5.54s gen, 0.019s retrieval, 0.020s rerank
[entity_heavy/rrf] Q175: 5.12s gen, 0.020s retrieval, 0.064s rerank
[entity_heavy/rrf] Q176: 6.70s gen, 0.019s retrieval, 0.020s rerank
[entity_heavy/rrf] Q177: 7.34s gen, 0.018s retrieval, 0.042s rerank
[entity_heavy/rrf] Q178: 5.68s gen, 0.022s retrieval, 0.063s rerank
[entity_heavy/rrf] Q179: 5.10s gen, 0.020s retrieval, 0.040s rerank
[entity_heavy/rrf] Q180: 5.05s gen, 0.022s retrieval, 0.022s rerank
[entity_heavy/rrf] Q181: 3.90s gen, 0.016s retrieval, 0.013s rerank
[entity_heavy/rrf] Q182: 5.20s gen, 0.026s retrieval, 0.012s rerank
[entity_heavy/rrf] Q183: 4.46s gen, 0.024s retrieval, 0.025s rerank
[entity_heavy/rrf] Q184: 5.18s gen, 0.019s retrieval, 0.017s rerank
[entity_heavy/rrf] Q185: 4.95s gen, 0.015s retrieval, 0.028s rerank
[entity_heavy/rrf] Q186: 3.58s gen, 0.015s retrieval, 0.015s rerank
[entity_heavy/rrf] Q187: 4.13s gen, 0.016s retrieval, 0.021s rerank
[entity_heavy/rrf] Q188: 4.51s gen, 0.023s retrieval, 0.013s rerank
[entity_heavy/rrf] Q189: 5.66s gen, 0.024s retrieval, 0.023s rerank
[entity_heavy/rrf] Q190: 5.32s gen, 0.018s retrieval, 0.019s rerank
[entity_heavy/rrf] Q191: 4.30s gen, 0.014s retrieval, 0.031s rerank
[entity_heavy/rrf] Q192: 4.31s gen, 0.017s retrieval, 0.013s rerank
[entity_heavy/rrf] Q193: 5.18s gen, 0.019s retrieval, 0.020s rerank
[entity_heavy/rrf] Q194: 4.09s gen, 0.017s retrieval, 0.029s rerank
[entity_heavy/rrf] Q195: 5.02s gen, 0.019s retrieval, 0.047s rerank
[entity_heavy/rrf] Q196: 4.67s gen, 0.018s retrieval, 0.015s rerank
[entity_heavy/rrf] Q197: 4.01s gen, 0.017s retrieval, 0.018s rerank
[entity_heavy/rrf] Q198: 5.03s gen, 0.018s retrieval, 0.021s rerank
[entity_heavy/rrf] Q199: 5.14s gen, 0.018s retrieval, 0.017s rerank
[entity_heavy/rrf] Q200: 4.45s gen, 0.017s retrieval, 0.026s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundN_reranker_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundN_reranker.csv (1 abstained)
