.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] Q027: 6.71s gen, 0.027s retrieval
[bm25_only] Q028: 6.23s gen, 0.020s retrieval
[bm25_only] Q029: 3.94s gen, 0.017s retrieval
[bm25_only] Q030: 5.01s gen, 0.022s retrieval
[bm25_only] Q031: 4.64s gen, 0.022s retrieval
[bm25_only] Q032: 11.26s gen, 0.018s retrieval
[bm25_only] Q033: 3.82s gen, 0.016s retrieval
[bm25_only] Q034: 11.50s gen, 0.020s retrieval
[bm25_only] Q035: 7.39s gen, 0.024s retrieval
[bm25_only] Q036: 7.09s gen, 0.016s retrieval
[bm25_only] Q037: 4.75s gen, 0.016s retrieval
[bm25_only] Q038: 8.55s gen, 0.020s retrieval
[bm25_only] Q039: 5.51s gen, 0.022s retrieval
[bm25_only] Q040: 5.18s gen, 0.018s retrieval
[bm25_only] Q041: 5.46s gen, 0.023s retrieval
[bm25_only] Q042: 5.09s gen, 0.019s retrieval
[bm25_only] Q043: 5.42s gen, 0.022s retrieval
[bm25_only] Q044: 4.55s gen, 0.022s retrieval
[bm25_only] Q045: 7.53s gen, 0.017s retrieval
[bm25_only] Q046: 7.39s gen, 0.014s retrieval
[bm25_only] Q047: 5.34s gen, 0.036s retrieval
[bm25_only] Q048: 5.54s gen, 0.017s retrieval
[bm25_only] Q049: 12.63s gen, 0.020s retrieval
[bm25_only] Q050: 5.72s gen, 0.023s retrieval
[bm25_only] Q051: 14.27s gen, 0.014s retrieval
[bm25_only] Q052: 7.31s gen, 0.020s retrieval
[bm25_only] Q053: 6.58s gen, 0.024s retrieval
[bm25_only] Q054: 3.52s gen, 0.024s retrieval
[bm25_only] Q055: 7.84s gen, 0.023s retrieval
[bm25_only] Q056: 4.55s gen, 0.016s retrieval
[bm25_only] Q057: 9.92s gen, 0.024s retrieval
[bm25_only] Q058: 10.74s gen, 0.030s retrieval
[bm25_only] Q059: 14.58s gen, 0.024s retrieval
[bm25_only] Q060: 7.59s gen, 0.025s retrieval
[bm25_only] Q061: 10.94s gen, 0.018s retrieval
[bm25_only] Q062: 6.79s gen, 0.016s retrieval
[bm25_only] Q063: 8.62s gen, 0.025s retrieval
[bm25_only] Q064: 7.78s gen, 0.020s retrieval
[bm25_only] Q065: 6.80s gen, 0.019s retrieval
[bm25_only] Q066: 3.90s gen, 0.023s retrieval
[bm25_only] Q067: 7.67s gen, 0.017s retrieval
[bm25_only] Q068: 9.38s gen, 0.024s retrieval
[bm25_only] Q069: 4.74s gen, 0.018s retrieval
[bm25_only] Q070: 6.39s gen, 0.027s retrieval
[bm25_only] Q071: 5.47s gen, 0.022s retrieval
[bm25_only] Q072: 4.68s gen, 0.022s retrieval
[bm25_only] Q073: 10.99s gen, 0.021s retrieval
[bm25_only] Q074: 5.88s gen, 0.019s retrieval
[bm25_only] Q075: 5.02s gen, 0.021s retrieval
[bm25_only] Q076: 5.13s gen, 0.019s retrieval
[bm25_only] Q077: 8.94s gen, 0.022s retrieval
[bm25_only] Q078: 10.58s gen, 0.020s retrieval
[bm25_only] Q079: 3.96s gen, 0.018s retrieval
[bm25_only] Q080: 8.99s gen, 0.024s retrieval
[bm25_only] Q081: 6.72s gen, 0.021s retrieval
[bm25_only] Q082: 9.10s gen, 0.026s retrieval
[bm25_only] Q083: 4.14s gen, 0.022s retrieval
[bm25_only] Q084: 6.56s gen, 0.036s retrieval
[bm25_only] Q085: 10.38s gen, 0.023s retrieval
[bm25_only] Q086: 5.81s gen, 0.024s retrieval
[bm25_only] Q087: 5.73s gen, 0.020s retrieval
[bm25_only] Q088: 6.26s gen, 0.019s retrieval
[bm25_only] Q089: 14.58s gen, 0.023s retrieval
[bm25_only] Q090: 9.06s gen, 0.019s retrieval
[bm25_only] Q091: 5.80s gen, 0.018s retrieval
[bm25_only] Q092: 9.02s gen, 0.021s retrieval
[bm25_only] Q093: 8.30s gen, 0.016s retrieval
[bm25_only] Q094: 5.13s gen, 0.021s retrieval
[bm25_only] Q095: 5.22s gen, 0.022s retrieval
[bm25_only] Q096: 7.11s gen, 0.021s retrieval
[bm25_only] Q097: 8.44s gen, 0.020s retrieval
[bm25_only] Q098: 5.13s gen, 0.023s retrieval
[bm25_only] Q099: 5.94s gen, 0.018s retrieval
[bm25_only] Q100: 5.01s gen, 0.019s retrieval
[bm25_only] Q101: 5.15s gen, 0.015s retrieval
[bm25_only] Q102: 4.58s gen, 0.015s retrieval
[bm25_only] Q103: 5.14s gen, 0.015s retrieval
[bm25_only] Q104: 4.29s gen, 0.016s retrieval
[bm25_only] Q105: 3.64s gen, 0.017s retrieval
[bm25_only] Q106: 3.73s gen, 0.016s retrieval
[bm25_only] Q107: 4.89s gen, 0.019s retrieval
[bm25_only] Q108: 4.38s gen, 0.014s retrieval
[bm25_only] Q109: 3.99s gen, 0.019s retrieval
[bm25_only] Q110: 4.55s gen, 0.016s retrieval
[bm25_only] Q111: 5.31s gen, 0.015s retrieval
[bm25_only] Q112: 4.56s gen, 0.014s retrieval
[bm25_only] Q113: 3.66s gen, 0.016s retrieval
[bm25_only] Q114: 4.00s gen, 0.016s retrieval
[bm25_only] Q115: 4.06s gen, 0.014s retrieval
[bm25_only] Q116: 5.40s gen, 0.016s retrieval
[bm25_only] Q117: 5.20s gen, 0.014s retrieval
[bm25_only] Q118: 3.99s gen, 0.016s retrieval
[bm25_only] Q119: 4.43s gen, 0.015s retrieval
[bm25_only] Q120: 4.41s gen, 0.017s retrieval
[bm25_only] Q121: 5.12s gen, 0.018s retrieval
[bm25_only] Q122: 4.54s gen, 0.017s retrieval
[bm25_only] Q123: 4.15s gen, 0.017s retrieval
[bm25_only] Q124: 5.30s gen, 0.015s retrieval
[bm25_only] Q125: 4.53s gen, 0.016s retrieval
[bm25_only] Q126: 4.24s gen, 0.017s retrieval
[bm25_only] Q127: 4.50s gen, 0.017s retrieval
[bm25_only] Q128: 4.32s gen, 0.014s retrieval
[bm25_only] Q129: 5.47s gen, 0.014s retrieval
[bm25_only] Q130: 6.55s gen, 0.019s retrieval
[bm25_only] Q131: 3.96s gen, 0.017s retrieval
[bm25_only] Q132: 3.98s gen, 0.017s retrieval
[bm25_only] Q133: 3.98s gen, 0.015s retrieval
[bm25_only] Q134: 5.43s gen, 0.015s retrieval
[bm25_only] Q135: 3.88s gen, 0.016s retrieval
[bm25_only] Q136: 5.48s gen, 0.015s retrieval
[bm25_only] Q137: 3.96s gen, 0.015s retrieval
[bm25_only] Q138: 4.63s gen, 0.015s retrieval
[bm25_only] Q139: 3.91s gen, 0.015s retrieval
[bm25_only] Q140: 4.77s gen, 0.017s retrieval
[bm25_only] Q141: 4.03s gen, 0.015s retrieval
[bm25_only] Q142: 5.20s gen, 0.015s retrieval
[bm25_only] Q143: 5.78s gen, 0.015s retrieval
[bm25_only] Q144: 8.04s gen, 0.015s retrieval
[bm25_only] Q145: 6.47s gen, 0.017s retrieval
[bm25_only] Q146: 3.93s gen, 0.015s retrieval
[bm25_only] Q147: 4.81s gen, 0.018s retrieval
[bm25_only] Q148: 5.57s gen, 0.015s retrieval
[bm25_only] Q149: 4.84s gen, 0.015s retrieval
[bm25_only] Q150: 6.71s gen, 0.015s retrieval
[bm25_only] Q151: 5.11s gen, 0.024s retrieval
[bm25_only] Q152: 4.90s gen, 0.022s retrieval
[bm25_only] Q153: 4.93s gen, 0.019s retrieval
[bm25_only] Q154: 4.71s gen, 0.021s retrieval
[bm25_only] Q155: 4.73s gen, 0.019s retrieval
[bm25_only] Q156: 4.84s gen, 0.023s retrieval
[bm25_only] Q157: 4.83s gen, 0.019s retrieval
[bm25_only] Q158: 4.43s gen, 0.023s retrieval
[bm25_only] Q159: 4.99s gen, 0.019s retrieval
[bm25_only] Q160: 4.81s gen, 0.021s retrieval
[bm25_only] Q161: 4.66s gen, 0.019s retrieval
[bm25_only] Q162: 4.78s gen, 0.019s retrieval
[bm25_only] Q163: 5.64s gen, 0.019s retrieval
[bm25_only] Q164: 5.01s gen, 0.020s retrieval
[bm25_only] Q165: 4.85s gen, 0.021s retrieval
[bm25_only] Q166: 4.40s gen, 0.020s retrieval
[bm25_only] Q167: 4.29s gen, 0.018s retrieval
[bm25_only] Q168: 8.73s gen, 0.019s retrieval
[bm25_only] Q169: 5.99s gen, 0.019s retrieval
[bm25_only] Q170: 5.07s gen, 0.021s retrieval
[bm25_only] Q171: 4.32s gen, 0.018s retrieval
[bm25_only] Q172: 8.97s gen, 0.018s retrieval
[bm25_only] Q173: 4.72s gen, 0.019s retrieval
[bm25_only] Q174: 4.74s gen, 0.023s retrieval
[bm25_only] Q175: 4.47s gen, 0.020s retrieval
[bm25_only] Q176: 8.69s gen, 0.019s retrieval
[bm25_only] Q177: 4.34s gen, 0.018s retrieval
[bm25_only] Q178: 4.54s gen, 0.020s retrieval
[bm25_only] Q179: 8.63s gen, 0.019s retrieval
[bm25_only] Q180: 5.41s gen, 0.020s retrieval
[bm25_only] Q181: 3.84s gen, 0.017s retrieval
[bm25_only] Q182: 5.14s gen, 0.019s retrieval
[bm25_only] Q183: 4.55s gen, 0.019s retrieval
[bm25_only] Q184: 5.28s gen, 0.016s retrieval
[bm25_only] Q185: 5.01s gen, 0.018s retrieval
[bm25_only] Q186: 3.59s gen, 0.016s retrieval
[bm25_only] Q187: 3.71s gen, 0.016s retrieval
[bm25_only] Q188: 4.20s gen, 0.019s retrieval
[bm25_only] Q189: 5.63s gen, 0.019s retrieval
[bm25_only] Q190: 5.78s gen, 0.021s retrieval
[bm25_only] Q191: 4.33s gen, 0.014s retrieval
[bm25_only] Q192: 4.28s gen, 0.016s retrieval
[bm25_only] Q193: 4.88s gen, 0.020s retrieval
[bm25_only] Q194: 4.18s gen, 0.015s retrieval
[bm25_only] Q195: 5.23s gen, 0.017s retrieval
[bm25_only] Q196: 4.72s gen, 0.018s retrieval
[bm25_only] Q197: 4.61s gen, 0.015s retrieval
[bm25_only] Q198: 5.14s gen, 0.018s retrieval
[bm25_only] Q199: 5.22s gen, 0.018s retrieval
[bm25_only] Q200: 4.39s gen, 0.016s retrieval
[vector_only] Q001: 10.69s gen, 0.027s retrieval
[vector_only] Q002: 6.54s gen, 0.027s retrieval
[vector_only] Q003: 8.63s gen, 0.021s retrieval
[vector_only] Q004: 7.00s gen, 0.021s retrieval
[vector_only] Q005: 8.28s gen, 0.018s retrieval
[vector_only] Q006: 5.13s gen, 0.016s retrieval
[vector_only] Q007: 10.02s gen, 0.022s retrieval
[vector_only] Q008: 4.16s gen, 0.023s retrieval
[vector_only] Q009: 3.59s gen, 0.014s retrieval
[vector_only] Q010: 4.23s gen, 0.019s retrieval
[vector_only] Q011: 8.76s gen, 0.021s retrieval
[vector_only] Q012: 4.77s gen, 0.020s retrieval
[vector_only] Q013: 7.75s gen, 0.019s retrieval
[vector_only] Q014: 8.04s gen, 0.018s retrieval
[vector_only] Q015: 9.09s gen, 0.018s retrieval
[vector_only] Q016: 7.46s gen, 0.020s retrieval
[vector_only] Q017: 7.93s gen, 0.018s retrieval
[vector_only] Q018: 4.02s gen, 0.020s retrieval
[vector_only] Q019: 3.76s gen, 0.017s retrieval
[vector_only] Q020: 4.12s gen, 0.016s retrieval
[vector_only] Q021: 9.15s gen, 0.018s retrieval
[vector_only] Q022: 6.45s gen, 0.023s retrieval
[vector_only] Q023: 5.75s gen, 0.018s retrieval
[vector_only] Q024: 8.23s gen, 0.027s retrieval
[vector_only] Q025: 7.05s gen, 0.022s retrieval
[vector_only] Q026: 6.19s gen, 0.020s retrieval
[vector_only] Q027: 6.90s gen, 0.023s retrieval
[vector_only] Q028: 6.03s gen, 0.021s retrieval
[vector_only] Q029: 3.94s gen, 0.017s retrieval
[vector_only] Q030: 5.08s gen, 0.023s retrieval
[vector_only] Q031: 4.55s gen, 0.019s retrieval
[vector_only] Q032: 10.35s gen, 0.018s retrieval
[vector_only] Q033: 3.79s gen, 0.017s retrieval
[vector_only] Q034: 12.21s gen, 0.020s retrieval
[vector_only] Q035: 7.40s gen, 0.024s retrieval
[vector_only] Q036: 6.98s gen, 0.016s retrieval
[vector_only] Q037: 4.09s gen, 0.016s retrieval
[vector_only] Q038: 8.44s gen, 0.017s retrieval
[vector_only] Q039: 4.20s gen, 0.022s retrieval
[vector_only] Q040: 3.98s gen, 0.018s retrieval
[vector_only] Q041: 5.34s gen, 0.020s retrieval
[vector_only] Q042: 5.01s gen, 0.019s retrieval
[vector_only] Q043: 5.32s gen, 0.018s retrieval
[vector_only] Q044: 4.57s gen, 0.019s retrieval
[vector_only] Q045: 5.50s gen, 0.019s retrieval
[vector_only] Q046: 7.68s gen, 0.014s retrieval
[vector_only] Q047: 5.50s gen, 0.022s retrieval
[vector_only] Q048: 9.87s gen, 0.017s retrieval
