query_id,config,bleu,rougeL,bertscore,meteor
Q156,full_hybrid,0.3500482776497398,0.6666666666666666,0.9252675175666808,0.6496644295302012
Q158,full_hybrid,0.4333207865423752,0.7058823529411765,0.9273507595062256,0.715702479338843
Q159,full_hybrid,0.4333207865423752,0.7058823529411765,0.939363420009613,0.715702479338843
Q160,full_hybrid,0.3500482776497398,0.6666666666666666,0.9256723523139954,0.6496644295302012
Q162,full_hybrid,0.3500482776497398,0.6666666666666666,0.9280361533164978,0.6496644295302012
Q163,full_hybrid,0.4333207865423752,0.7058823529411765,0.9348753094673156,0.715702479338843
Q165,full_hybrid,0.3500482776497398,0.6666666666666666,0.9347130060195924,0.6496644295302012
Q167,full_hybrid,0.2657251941599823,0.4864864864864865,0.9017858505249025,0.6944444444444445
Q168,full_hybrid,0.0571911436249112,0.5714285714285713,0.945307731628418,0.4331450094161957
Q169,full_hybrid,0.3438931217657843,0.6666666666666667,0.9540790319442748,0.6437241735537189
Q170,full_hybrid,0.7691605673134586,0.9565217391304348,0.9877660274505616,0.9139118457300276
Q172,full_hybrid,0.2906069298023141,0.7000000000000001,0.9594513773918152,0.6600900423728814
Q173,full_hybrid,0.5296074933406222,0.7200000000000001,0.919882833957672,0.7336571544221817
Q174,full_hybrid,0.456083954535194,0.6666666666666666,0.8847067952156067,0.7218239745121466
Q175,full_hybrid,0.7691605673134586,0.9565217391304348,0.9833021759986876,0.9139118457300276
Q179,full_hybrid,0.7691605673134586,0.9565217391304348,0.9654386043548584,0.9139118457300276
Q180,full_hybrid,0.7691605673134586,0.9565217391304348,0.9859634041786194,0.9139118457300276
Q181,full_hybrid,1.0,1.0,0.9952480792999268,0.998542274052478
Q184,full_hybrid,1.0,1.0,0.9999998807907104,0.9995
Q185,full_hybrid,1.0,1.0,1.0,0.9993141289437586
Q187,full_hybrid,0.0527120271268863,0.5,0.87594074010849,0.3287760416666666
Q188,full_hybrid,0.3814165616365676,0.75,0.9712995886802672,0.8333333333333333
Q190,full_hybrid,1.0,1.0,1.0,0.9996243425995492
Q191,full_hybrid,0.1409020089952245,0.7142857142857143,0.9408009052276612,0.5739795918367346
Q193,full_hybrid,1.0,1.0,1.0,0.999710648148148
Q194,full_hybrid,0.0527120271268863,0.5,0.8841742277145386,0.3287760416666666
Q195,full_hybrid,0.1093265113929093,0.6666666666666666,0.9703547954559326,0.7301587301587302
Q196,full_hybrid,1.0,1.0,1.0000001192092896,0.9993141289437586
Q197,full_hybrid,0.1048967186945593,0.5714285714285715,0.8979995250701904,0.4207547169811321
Q198,full_hybrid,0.3814165616365676,0.75,0.9780449271202089,0.8333333333333333
Q199,full_hybrid,1.0,1.0,0.9999999403953552,0.9995
Q200,full_hybrid,0.4810977290978807,0.7777777777777778,0.9787939190864564,0.8604938271604939
Q002,bm25_only,0.4018215766366551,0.5833333333333334,0.9395237565040588,0.8822222222222224
Q003,bm25_only,1.0,1.0,1.0000001192092896,0.999996824671036
Q004,bm25_only,1.0,1.0,0.9999998807907104,0.999898229187869
Q007,bm25_only,0.8188401255592049,0.943661971830986,0.9764021039009094,0.9100017572173532
Q008,bm25_only,0.8633400213704505,1.0,0.9889206886291504,0.9866898148148148
Q011,bm25_only,0.5263944418611728,0.6021505376344085,0.9440321922302246,0.6595773381294964
Q012,bm25_only,0.2899784414715207,0.5555555555555556,0.9580538868904114,0.6657910689028086
Q013,bm25_only,1.0,1.0,1.0,0.9999901289163524
Q014,bm25_only,0.4634904456424156,0.8717948717948717,0.973000943660736,0.8981458465674225
Q015,bm25_only,0.8394327083733336,1.0,0.997467577457428,0.9722981039681096
Q016,bm25_only,0.3487815363793519,0.6933333333333334,0.9319724440574646,0.8445137314184934
Q017,bm25_only,0.9024521756077708,0.9666666666666666,0.9948424100875854,0.9943898779073732
Q018,bm25_only,1.0,1.0,0.9999998807907104,0.9997724169321802
Q019,bm25_only,1.0,1.0,1.0000001192092896,0.9996243425995492
