.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6446.81it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 9181.74it/s]
[entity_heavy/rrf] Q130: 5.50s gen, 0.022s retrieval, 0.118s rerank
[entity_heavy/rrf] Q131: 5.48s gen, 0.017s retrieval, 0.101s rerank
[entity_heavy/rrf] Q132: 3.98s gen, 0.021s retrieval, 0.106s rerank
[entity_heavy/rrf] Q133: 4.00s gen, 0.019s retrieval, 0.101s rerank
[entity_heavy/rrf] Q134: 3.87s gen, 0.016s retrieval, 0.098s rerank
[entity_heavy/rrf] Q135: 3.87s gen, 0.019s retrieval, 0.120s rerank
[entity_heavy/rrf] Q136: 4.03s gen, 0.019s retrieval, 0.100s rerank
[entity_heavy/rrf] Q137: 3.91s gen, 0.017s retrieval, 0.108s rerank
[entity_heavy/rrf] Q138: 4.65s gen, 0.017s retrieval, 0.077s rerank
[entity_heavy/rrf] Q139: 3.96s gen, 0.015s retrieval, 0.117s rerank
[entity_heavy/rrf] Q140: 5.16s gen, 0.015s retrieval, 0.117s rerank
[entity_heavy/rrf] Q141: 4.02s gen, 0.018s retrieval, 0.101s rerank
[entity_heavy/rrf] Q142: 5.46s gen, 0.019s retrieval, 0.098s rerank
[entity_heavy/rrf] Q143: 4.92s gen, 0.018s retrieval, 0.087s rerank
[entity_heavy/rrf] Q144: 7.50s gen, 0.016s retrieval, 0.093s rerank
[entity_heavy/rrf] Q145: 8.27s gen, 0.018s retrieval, 0.107s rerank
[entity_heavy/rrf] Q146: 4.12s gen, 0.017s retrieval, 0.106s rerank
[entity_heavy/rrf] Q147: 4.82s gen, 0.016s retrieval, 0.074s rerank
[entity_heavy/rrf] Q148: 5.70s gen, 0.018s retrieval, 0.123s rerank
[entity_heavy/rrf] Q149: 4.81s gen, 0.016s retrieval, 0.073s rerank
