query_id,config,predicted_category,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q045,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q045,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q045,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q045,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q046,bm25_only,Extracurricular Activities,0.0,0.0,0.0,0.1111111111111111,0.0,0.36181498356361597
Q046,full_hybrid_baseline,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q046,full_hybrid_category_boost,Extracurricular Activities,1.0,1.0,1.0,1.0,0.7653606369886217,0.9066276098484507
Q046,vector_only_baseline,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q046,vector_only_category_boost,Extracurricular Activities,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q047,bm25_only,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q047,full_hybrid_baseline,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q047,full_hybrid_category_boost,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q047,vector_only_baseline,Extracurricular Activities,1.0,1.0,1.0,1.0,1.0,1.0
Q047,vector_only_category_boost,Extracurricular Activities,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q048,bm25_only,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q048,full_hybrid_baseline,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q048,full_hybrid_category_boost,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q048,vector_only_baseline,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q048,vector_only_category_boost,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q049,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q049,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q049,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q049,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q049,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q050,bm25_only,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q050,full_hybrid_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q050,full_hybrid_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q050,vector_only_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q050,vector_only_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q051,bm25_only,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q051,full_hybrid_baseline,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,1.0,1.0
Q051,full_hybrid_category_boost,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q051,vector_only_baseline,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,1.0,1.0
Q051,vector_only_category_boost,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q052,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q052,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q052,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q052,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q052,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q053,bm25_only,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q053,full_hybrid_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q053,full_hybrid_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q053,vector_only_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q053,vector_only_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q054,bm25_only,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q054,full_hybrid_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q054,full_hybrid_category_boost,Campus,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q054,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q054,vector_only_category_boost,Campus,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q055,bm25_only,Thesis and Internship,1.0,1.0,1.0,1.0,0.9060254355346823,0.9060254355346823
Q055,full_hybrid_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q055,full_hybrid_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q055,vector_only_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q055,vector_only_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.8318724637288826,0.9447176050778178
Q056,bm25_only,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q056,full_hybrid_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
