Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5233.10it/s]
[entity_heavy/rrf] Q114: 5.52s gen, 0.018s retrieval, 0.015s rerank
[entity_heavy/rrf] Q115: 5.66s gen, 0.019s retrieval, 0.011s rerank
[entity_heavy/rrf] Q116: 4.70s gen, 0.020s retrieval, 0.019s rerank
[entity_heavy/rrf] Q117: 6.18s gen, 0.020s retrieval, 0.014s rerank
[entity_heavy/rrf] Q118: 3.98s gen, 0.018s retrieval, 0.035s rerank
[entity_heavy/rrf] Q119: 4.76s gen, 0.019s retrieval, 0.010s rerank
[entity_heavy/rrf] Q120: 5.49s gen, 0.022s retrieval, 0.011s rerank
[entity_heavy/rrf] Q121: 6.44s gen, 0.028s retrieval, 0.013s rerank
[entity_heavy/rrf] Q122: 4.43s gen, 0.026s retrieval, 0.020s rerank
[entity_heavy/rrf] Q123: 5.94s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q124: 8.00s gen, 0.022s retrieval, 0.017s rerank
[entity_heavy/rrf] Q125: 6.59s gen, 0.021s retrieval, 0.045s rerank
[entity_heavy/rrf] Q126: 5.42s gen, 0.018s retrieval, 0.018s rerank
[entity_heavy/rrf] Q127: 5.73s gen, 0.024s retrieval, 0.011s rerank
[entity_heavy/rrf] Q128: 6.53s gen, 0.019s retrieval, 0.014s rerank
[entity_heavy/rrf] Q129: 5.98s gen, 0.023s retrieval, 0.011s rerank
[entity_heavy/rrf] Q130: 6.31s gen, 0.025s retrieval, 0.011s rerank
[entity_heavy/rrf] Q131: 5.43s gen, 0.020s retrieval, 0.013s rerank
[entity_heavy/rrf] Q132: 6.16s gen, 0.019s retrieval, 0.011s rerank
[entity_heavy/rrf] Q133: 7.38s gen, 0.019s retrieval, 0.011s rerank
[entity_heavy/rrf] Q134: 4.24s gen, 0.028s retrieval, 0.012s rerank
[entity_heavy/rrf] Q135: 5.53s gen, 0.020s retrieval, 0.011s rerank
[entity_heavy/rrf] Q136: 6.19s gen, 0.020s retrieval, 0.010s rerank
[entity_heavy/rrf] Q137: 6.93s gen, 0.021s retrieval, 0.011s rerank
[entity_heavy/rrf] Q138: 7.43s gen, 0.021s retrieval, 0.011s rerank
[entity_heavy/rrf] Q139: 5.56s gen, 0.023s retrieval, 0.014s rerank
[entity_heavy/rrf] Q140: 5.40s gen, 0.022s retrieval, 0.017s rerank
[entity_heavy/rrf] Q141: 5.73s gen, 0.022s retrieval, 0.018s rerank
[entity_heavy/rrf] Q142: 6.12s gen, 0.022s retrieval, 0.026s rerank
[entity_heavy/rrf] Q143: 5.02s gen, 0.023s retrieval, 0.023s rerank
[entity_heavy/rrf] Q144: 7.65s gen, 0.024s retrieval, 0.017s rerank
[entity_heavy/rrf] Q145: 8.18s gen, 0.022s retrieval, 0.020s rerank
[entity_heavy/rrf] Q146: 5.40s gen, 0.023s retrieval, 0.053s rerank
[entity_heavy/rrf] Q147: 6.15s gen, 0.025s retrieval, 0.016s rerank
[entity_heavy/rrf] Q148: 6.45s gen, 0.024s retrieval, 0.027s rerank
[entity_heavy/rrf] Q149: 4.82s gen, 0.022s retrieval, 0.013s rerank
[entity_heavy/rrf] Q150: 4.90s gen, 0.023s retrieval, 0.024s rerank
[entity_heavy/rrf] Q151: 5.43s gen, 0.029s retrieval, 0.027s rerank
[entity_heavy/rrf] Q152: 5.06s gen, 0.035s retrieval, 0.026s rerank
[entity_heavy/rrf] Q153: 6.07s gen, 0.035s retrieval, 0.030s rerank
[entity_heavy/rrf] Q154: 5.48s gen, 0.028s retrieval, 0.028s rerank
[entity_heavy/rrf] Q155: 4.95s gen, 0.037s retrieval, 0.026s rerank
[entity_heavy/rrf] Q156: 5.57s gen, 0.030s retrieval, 0.025s rerank
[entity_heavy/rrf] Q157: 5.96s gen, 0.030s retrieval, 0.039s rerank
[entity_heavy/rrf] Q158: 4.91s gen, 0.034s retrieval, 0.019s rerank
[entity_heavy/rrf] Q159: 5.12s gen, 0.029s retrieval, 0.020s rerank
[entity_heavy/rrf] Q160: 4.73s gen, 0.022s retrieval, 0.012s rerank
[entity_heavy/rrf] Q161: 4.66s gen, 0.023s retrieval, 0.012s rerank
[entity_heavy/rrf] Q162: 4.84s gen, 0.027s retrieval, 0.010s rerank
[entity_heavy/rrf] Q163: 5.50s gen, 0.023s retrieval, 0.014s rerank
[entity_heavy/rrf] Q164: 4.82s gen, 0.029s retrieval, 0.013s rerank
[entity_heavy/rrf] Q165: 4.99s gen, 0.024s retrieval, 0.011s rerank
[entity_heavy/rrf] Q166: 5.39s gen, 0.019s retrieval, 0.020s rerank
[entity_heavy/rrf] Q167: 5.94s gen, 0.019s retrieval, 0.018s rerank
[entity_heavy/rrf] Q168: 5.82s gen, 0.028s retrieval, 0.036s rerank
[entity_heavy/rrf] Q169: 5.25s gen, 0.022s retrieval, 0.013s rerank
[entity_heavy/rrf] Q170: 6.73s gen, 0.019s retrieval, 0.033s rerank
[entity_heavy/rrf] Q171: 6.09s gen, 0.021s retrieval, 0.025s rerank
[entity_heavy/rrf] Q172: 5.35s gen, 0.023s retrieval, 0.034s rerank
[entity_heavy/rrf] Q173: 5.88s gen, 0.019s retrieval, 0.016s rerank
[entity_heavy/rrf] Q174: 6.08s gen, 0.021s retrieval, 0.020s rerank
[entity_heavy/rrf] Q175: 5.71s gen, 0.019s retrieval, 0.039s rerank
[entity_heavy/rrf] Q176: 4.95s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q177: 5.38s gen, 0.023s retrieval, 0.012s rerank
[entity_heavy/rrf] Q178: 5.96s gen, 0.022s retrieval, 0.021s rerank
[entity_heavy/rrf] Q179: 6.91s gen, 0.021s retrieval, 0.022s rerank
[entity_heavy/rrf] Q180: 6.64s gen, 0.020s retrieval, 0.026s rerank
[entity_heavy/rrf] Q181: 3.89s gen, 0.021s retrieval, 0.010s rerank
[entity_heavy/rrf] Q182: 5.18s gen, 0.026s retrieval, 0.009s rerank
[entity_heavy/rrf] Q183: 4.47s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q184: 5.16s gen, 0.019s retrieval, 0.011s rerank
[entity_heavy/rrf] Q185: 4.76s gen, 0.024s retrieval, 0.012s rerank
[entity_heavy/rrf] Q186: 3.56s gen, 0.014s retrieval, 0.011s rerank
[entity_heavy/rrf] Q187: 3.73s gen, 0.014s retrieval, 0.010s rerank
[entity_heavy/rrf] Q188: 4.27s gen, 0.021s retrieval, 0.010s rerank
[entity_heavy/rrf] Q189: 5.63s gen, 0.020s retrieval, 0.015s rerank
[entity_heavy/rrf] Q190: 5.36s gen, 0.020s retrieval, 0.012s rerank
[entity_heavy/rrf] Q191: 4.37s gen, 0.015s retrieval, 0.018s rerank
[entity_heavy/rrf] Q192: 3.59s gen, 0.015s retrieval, 0.009s rerank
[entity_heavy/rrf] Q193: 4.90s gen, 0.022s retrieval, 0.012s rerank
[entity_heavy/rrf] Q194: 4.11s gen, 0.015s retrieval, 0.018s rerank
[entity_heavy/rrf] Q195: 6.41s gen, 0.015s retrieval, 0.027s rerank
[entity_heavy/rrf] Q196: 4.50s gen, 0.018s retrieval, 0.012s rerank
[entity_heavy/rrf] Q197: 4.63s gen, 0.014s retrieval, 0.011s rerank
[entity_heavy/rrf] Q198: 5.08s gen, 0.020s retrieval, 0.014s rerank
[entity_heavy/rrf] Q199: 5.23s gen, 0.020s retrieval, 0.013s rerank
[entity_heavy/rrf] Q200: 4.18s gen, 0.018s retrieval, 0.016s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundN_reranker_pool5_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundN_reranker_pool5.csv (1 abstained)
