.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6717.03it/s]
[entity_heavy/rrf] Q157: 5.70s gen, 0.022s retrieval, 0.161s rerank
[entity_heavy/rrf] Q158: 4.80s gen, 0.023s retrieval, 0.060s rerank
[entity_heavy/rrf] Q159: 5.50s gen, 0.021s retrieval, 0.168s rerank
[entity_heavy/rrf] Q160: 5.78s gen, 0.024s retrieval, 0.121s rerank
[entity_heavy/rrf] Q161: 4.75s gen, 0.021s retrieval, 0.057s rerank
[entity_heavy/rrf] Q162: 5.43s gen, 0.022s retrieval, 0.121s rerank
[entity_heavy/rrf] Q163: 4.78s gen, 0.026s retrieval, 0.131s rerank
[entity_heavy/rrf] Q164: 5.10s gen, 0.025s retrieval, 0.178s rerank
[entity_heavy/rrf] Q165: 5.46s gen, 0.026s retrieval, 0.198s rerank
[entity_heavy/rrf] Q166: 4.66s gen, 0.019s retrieval, 0.216s rerank
[entity_heavy/rrf] Q167: 4.68s gen, 0.023s retrieval, 0.186s rerank
[entity_heavy/rrf] Q168: 6.60s gen, 0.022s retrieval, 0.356s rerank
[entity_heavy/rrf] Q169: 4.79s gen, 0.022s retrieval, 0.200s rerank
[entity_heavy/rrf] Q170: 5.56s gen, 0.020s retrieval, 0.339s rerank
[entity_heavy/rrf] Q171: 4.73s gen, 0.020s retrieval, 0.209s rerank
[entity_heavy/rrf] Q172: 4.71s gen, 0.020s retrieval, 0.364s rerank
[entity_heavy/rrf] Q173: 4.55s gen, 0.019s retrieval, 0.197s rerank
[entity_heavy/rrf] Q174: 4.59s gen, 0.020s retrieval, 0.180s rerank
[entity_heavy/rrf] Q175: 6.31s gen, 0.022s retrieval, 0.343s rerank
[entity_heavy/rrf] Q176: 4.87s gen, 0.020s retrieval, 0.180s rerank
[entity_heavy/rrf] Q177: 4.76s gen, 0.020s retrieval, 0.144s rerank
[entity_heavy/rrf] Q178: 4.88s gen, 0.021s retrieval, 0.251s rerank
[entity_heavy/rrf] Q179: 6.91s gen, 0.020s retrieval, 0.216s rerank
[entity_heavy/rrf] Q180: 4.52s gen, 0.021s retrieval, 0.224s rerank
[open_ended/linear] Q181: 0.00s gen, 0.021s retrieval, 0.095s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.022s retrieval, 0.086s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.016s retrieval, 0.123s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.016s retrieval, 0.118s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.014s retrieval, 0.130s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.013s retrieval, 0.069s rerank [ABSTAINED]
