.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --no-reranke ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6869.68it/s]
[entity_heavy/rrf] Q148: 3.94s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q149: 4.75s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q150: 6.81s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q151: 5.10s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q152: 4.99s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q153: 5.70s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q154: 4.90s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q155: 4.73s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q156: 4.85s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q157: 5.95s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q158: 4.73s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q159: 5.51s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q160: 4.69s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q161: 4.70s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q162: 4.84s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q163: 5.68s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q164: 5.76s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q165: 5.17s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q166: 6.09s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q167: 5.10s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q168: 5.79s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q169: 5.40s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q170: 6.32s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q171: 9.40s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q172: 5.74s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q173: 4.99s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q174: 5.99s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q175: 5.68s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q176: 5.09s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q177: 4.99s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q178: 5.86s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q179: 5.32s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q180: 5.16s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q181: 0.00s gen, 0.018s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.024s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.021s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.020s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.020s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.016s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q187: 0.00s gen, 0.014s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.019s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.020s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q190: 0.00s gen, 0.017s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q191: 0.00s gen, 0.013s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q192: 0.00s gen, 0.014s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q193: 0.00s gen, 0.014s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q194: 0.00s gen, 0.012s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q195: 0.00s gen, 0.014s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q196: 0.00s gen, 0.013s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q197: 0.00s gen, 0.013s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q198: 0.00s gen, 0.015s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q199: 0.00s gen, 0.016s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q200: 0.00s gen, 0.013s retrieval, 0.000s rerank [ABSTAINED]
Wrote metadata to results\novel_pipeline_raw_outputs_roundK_noreranker_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundK_noreranker.csv (21 abstained)
