query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q172,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q173,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q174,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q175,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q176,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q177,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q178,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q179,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q180,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q181,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q182,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q183,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.8539316501572937,0.9705437052559006
Q184,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q185,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q186,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q187,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q188,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q189,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q190,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q191,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q192,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.7039180890341347,0.8710785440003369
Q193,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q194,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q195,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q196,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q197,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q198,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.8687949224876582,0.9818483242455303
Q199,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q200,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.7095272044910244,0.8485833840018
