.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6586.47it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits 
and faster downloads.

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6699.15it/s]
[entity_heavy/rrf] Q101: 4.69s gen, 0.016s retrieval, 0.310s rerank
[entity_heavy/rrf] Q102: 4.81s gen, 0.019s retrieval, 0.162s rerank
[entity_heavy/rrf] Q103: 4.01s gen, 0.017s retrieval, 0.153s rerank
[entity_heavy/rrf] Q104: 4.47s gen, 0.017s retrieval, 0.154s rerank
[entity_heavy/rrf] Q105: 3.81s gen, 0.022s retrieval, 0.055s rerank
[entity_heavy/rrf] Q106: 4.00s gen, 0.016s retrieval, 0.146s rerank
[entity_heavy/rrf] Q107: 5.91s gen, 0.020s retrieval, 0.071s rerank
[entity_heavy/rrf] Q108: 4.51s gen, 0.016s retrieval, 0.148s rerank
[entity_heavy/rrf] Q109: 4.02s gen, 0.018s retrieval, 0.055s rerank
[entity_heavy/rrf] Q110: 4.94s gen, 0.022s retrieval, 0.104s rerank
[entity_heavy/rrf] Q111: 5.54s gen, 0.016s retrieval, 0.209s rerank
[entity_heavy/rrf] Q112: 4.75s gen, 0.022s retrieval, 0.158s rerank
[entity_heavy/rrf] Q113: 3.77s gen, 0.021s retrieval, 0.058s rerank
[entity_heavy/rrf] Q114: 4.67s gen, 0.017s retrieval, 0.149s rerank
[entity_heavy/rrf] Q115: 4.62s gen, 0.017s retrieval, 0.150s rerank
[entity_heavy/rrf] Q116: 4.11s gen, 0.017s retrieval, 0.287s rerank
[entity_heavy/rrf] Q117: 5.42s gen, 0.016s retrieval, 0.152s rerank
[entity_heavy/rrf] Q118: 4.22s gen, 0.017s retrieval, 0.152s rerank
[entity_heavy/rrf] Q119: 3.81s gen, 0.016s retrieval, 0.151s rerank
[entity_heavy/rrf] Q120: 4.85s gen, 0.020s retrieval, 0.101s rerank
[entity_heavy/rrf] Q121: 6.10s gen, 0.019s retrieval, 0.100s rerank
[entity_heavy/rrf] Q122: 4.61s gen, 0.021s retrieval, 0.111s rerank
[entity_heavy/rrf] Q123: 5.09s gen, 0.016s retrieval, 0.155s rerank
[entity_heavy/rrf] Q124: 8.95s gen, 0.021s retrieval, 0.093s rerank
[entity_heavy/rrf] Q125: 5.29s gen, 0.016s retrieval, 0.155s rerank
[entity_heavy/rrf] Q126: 4.40s gen, 0.017s retrieval, 0.155s rerank
[entity_heavy/rrf] Q127: 5.00s gen, 0.018s retrieval, 0.095s rerank
[entity_heavy/rrf] Q128: 4.14s gen, 0.016s retrieval, 0.149s rerank
[entity_heavy/rrf] Q129: 4.30s gen, 0.019s retrieval, 0.124s rerank
[entity_heavy/rrf] Q130: 6.43s gen, 0.018s retrieval, 0.130s rerank
[entity_heavy/rrf] Q131: 5.70s gen, 0.018s retrieval, 0.136s rerank
[entity_heavy/rrf] Q132: 4.50s gen, 0.020s retrieval, 0.116s rerank
[entity_heavy/rrf] Q133: 4.46s gen, 0.016s retrieval, 0.118s rerank
