.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q180: 5.22s gen, 0.020s retrieval
[full_hybrid] Q181: 4.28s gen, 0.017s retrieval
[full_hybrid] Q182: 5.29s gen, 0.024s retrieval
[full_hybrid] Q183: 4.54s gen, 0.022s retrieval
[full_hybrid] Q184: 5.29s gen, 0.020s retrieval
[full_hybrid] Q185: 5.22s gen, 0.018s retrieval
[full_hybrid] Q186: 3.66s gen, 0.015s retrieval
[full_hybrid] Q187: 3.85s gen, 0.019s retrieval
[full_hybrid] Q188: 4.28s gen, 0.022s retrieval
[full_hybrid] Q189: 5.75s gen, 0.021s retrieval
[full_hybrid] Q190: 5.48s gen, 0.023s retrieval
[full_hybrid] Q191: 4.51s gen, 0.015s retrieval
[full_hybrid] Q192: 4.36s gen, 0.016s retrieval
[full_hybrid] Q193: 4.91s gen, 0.019s retrieval
[full_hybrid] Q194: 4.22s gen, 0.016s retrieval
[full_hybrid] Q195: 4.44s gen, 0.019s retrieval
[full_hybrid] Q196: 4.75s gen, 0.018s retrieval
[full_hybrid] Q197: 4.67s gen, 0.016s retrieval
[full_hybrid] Q198: 4.91s gen, 0.021s retrieval
[full_hybrid] Q199: 5.30s gen, 0.020s retrieval
[full_hybrid] Q200: 4.41s gen, 0.019s retrieval
[bm25_only] Q001: 11.08s gen, 0.018s retrieval
[bm25_only] Q002: 6.56s gen, 0.029s retrieval
[bm25_only] Q003: 9.58s gen, 0.019s retrieval
[bm25_only] Q004: 4.85s gen, 0.030s retrieval
[bm25_only] Q005: 8.50s gen, 0.022s retrieval
[bm25_only] Q006: 5.31s gen, 0.018s retrieval
[bm25_only] Q007: 12.07s gen, 0.021s retrieval
[bm25_only] Q008: 4.22s gen, 0.022s retrieval
[bm25_only] Q009: 3.80s gen, 0.016s retrieval
[bm25_only] Q010: 4.98s gen, 0.021s retrieval
[bm25_only] Q011: 7.69s gen, 0.025s retrieval
[bm25_only] Q012: 4.89s gen, 0.020s retrieval
[bm25_only] Q013: 6.42s gen, 0.022s retrieval
[bm25_only] Q014: 9.19s gen, 0.022s retrieval
[bm25_only] Q015: 5.49s gen, 0.022s retrieval
[bm25_only] Q016: 12.23s gen, 0.026s retrieval
[bm25_only] Q017: 8.44s gen, 0.021s retrieval
[bm25_only] Q018: 4.26s gen, 0.023s retrieval
[bm25_only] Q019: 3.91s gen, 0.022s retrieval
[bm25_only] Q020: 3.82s gen, 0.019s retrieval
[bm25_only] Q021: 9.44s gen, 0.023s retrieval
[bm25_only] Q022: 6.22s gen, 0.022s retrieval
[bm25_only] Q023: 10.56s gen, 0.033s retrieval
[bm25_only] Q024: 9.03s gen, 0.029s retrieval
[bm25_only] Q025: 9.71s gen, 0.022s retrieval
[bm25_only] Q026: 6.59s gen, 0.020s retrieval
[bm25_only] Q027: 9.11s gen, 0.023s retrieval
[bm25_only] Q028: 4.27s gen, 0.018s retrieval
[bm25_only] Q029: 11.73s gen, 0.022s retrieval
[bm25_only] Q030: 4.81s gen, 0.023s retrieval
[bm25_only] Q031: 17.77s gen, 0.029s retrieval
[bm25_only] Q032: 4.07s gen, 0.019s retrieval
[bm25_only] Q033: 11.95s gen, 0.022s retrieval
[bm25_only] Q034: 7.64s gen, 0.023s retrieval
[bm25_only] Q035: 7.46s gen, 0.018s retrieval
[bm25_only] Q036: 4.37s gen, 0.031s retrieval
[bm25_only] Q037: 8.83s gen, 0.020s retrieval
[bm25_only] Q038: 6.23s gen, 0.021s retrieval
[bm25_only] Q039: 5.38s gen, 0.020s retrieval
[bm25_only] Q040: 5.58s gen, 0.023s retrieval
[bm25_only] Q041: 9.24s gen, 0.022s retrieval
[bm25_only] Q042: 5.85s gen, 0.023s retrieval
[bm25_only] Q043: 6.30s gen, 0.022s retrieval
[bm25_only] Q044: 4.22s gen, 0.024s retrieval
[bm25_only] Q045: 7.57s gen, 0.018s retrieval
[bm25_only] Q046: 6.26s gen, 0.018s retrieval
[bm25_only] Q047: 13.06s gen, 0.047s retrieval
[bm25_only] Q048: 20.94s gen, 0.023s retrieval
[bm25_only] Q049: 6.10s gen, 0.029s retrieval
[bm25_only] Q050: 7.04s gen, 0.029s retrieval
[bm25_only] Q051: 9.23s gen, 0.023s retrieval
[bm25_only] Q052: 5.38s gen, 0.025s retrieval
[bm25_only] Q053: 4.04s gen, 0.025s retrieval
[bm25_only] Q054: 6.09s gen, 0.021s retrieval
[bm25_only] Q055: 4.93s gen, 0.022s retrieval
[bm25_only] Q056: 6.14s gen, 0.023s retrieval
[bm25_only] Q057: 4.72s gen, 0.019s retrieval
[bm25_only] Q058: 4.51s gen, 0.028s retrieval
[bm25_only] Q059: 19.86s gen, 0.029s retrieval
[bm25_only] Q060: 15.43s gen, 0.027s retrieval
[bm25_only] Q061: 6.96s gen, 0.019s retrieval
[bm25_only] Q062: 8.86s gen, 0.024s retrieval
[bm25_only] Q063: 6.87s gen, 0.024s retrieval
[bm25_only] Q064: 7.40s gen, 0.023s retrieval
[bm25_only] Q065: 4.03s gen, 0.023s retrieval
[bm25_only] Q066: 7.91s gen, 0.020s retrieval
[bm25_only] Q067: 10.20s gen, 0.024s retrieval
[bm25_only] Q068: 4.87s gen, 0.019s retrieval
[bm25_only] Q069: 9.28s gen, 0.020s retrieval
[bm25_only] Q070: 6.27s gen, 0.025s retrieval
[bm25_only] Q071: 7.37s gen, 0.033s retrieval
[bm25_only] Q072: 11.53s gen, 0.022s retrieval
[bm25_only] Q073: 13.04s gen, 0.024s retrieval
[bm25_only] Q074: 4.80s gen, 0.023s retrieval
[bm25_only] Q075: 6.40s gen, 0.022s retrieval
[bm25_only] Q076: 7.73s gen, 0.020s retrieval
[bm25_only] Q077: 3.71s gen, 0.021s retrieval
[bm25_only] Q078: 5.16s gen, 0.025s retrieval
[bm25_only] Q079: 5.79s gen, 0.024s retrieval
[bm25_only] Q080: 7.93s gen, 0.020s retrieval
[bm25_only] Q081: 5.64s gen, 0.016s retrieval
[bm25_only] Q082: 6.35s gen, 0.023s retrieval
[bm25_only] Q083: 7.24s gen, 0.023s retrieval
[bm25_only] Q084: 6.21s gen, 0.029s retrieval
[bm25_only] Q085: 8.13s gen, 0.026s retrieval
[bm25_only] Q086: 7.35s gen, 0.021s retrieval
[bm25_only] Q087: 8.65s gen, 0.022s retrieval
[bm25_only] Q088: 6.30s gen, 0.020s retrieval
[bm25_only] Q089: 6.53s gen, 0.022s retrieval
[bm25_only] Q090: 7.34s gen, 0.030s retrieval
[bm25_only] Q091: 6.52s gen, 0.023s retrieval
[bm25_only] Q092: 9.31s gen, 0.021s retrieval
[bm25_only] Q093: 11.52s gen, 0.025s retrieval
[bm25_only] Q094: 5.93s gen, 0.022s retrieval
[bm25_only] Q095: 5.05s gen, 0.023s retrieval
[bm25_only] Q096: 4.81s gen, 0.021s retrieval
[bm25_only] Q097: 8.60s gen, 0.021s retrieval
[bm25_only] Q098: 6.99s gen, 0.022s retrieval
[bm25_only] Q099: 8.23s gen, 0.022s retrieval
[bm25_only] Q100: 6.85s gen, 0.024s retrieval
[bm25_only] Q101: 4.92s gen, 0.016s retrieval
[bm25_only] Q102: 4.68s gen, 0.016s retrieval
[bm25_only] Q103: 5.21s gen, 0.016s retrieval
[bm25_only] Q104: 4.28s gen, 0.017s retrieval
[bm25_only] Q105: 3.72s gen, 0.018s retrieval
[bm25_only] Q106: 4.54s gen, 0.017s retrieval
[bm25_only] Q107: 5.05s gen, 0.019s retrieval
[bm25_only] Q108: 4.42s gen, 0.017s retrieval
