Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5007.92it/s]
[bm25_only] Q015: 5.13s gen, 0.022s retrieval
[bm25_only] Q016: 11.35s gen, 0.019s retrieval
[bm25_only] Q017: 7.92s gen, 0.022s retrieval
[bm25_only] Q018: 4.12s gen, 0.025s retrieval
[bm25_only] Q019: 3.85s gen, 0.023s retrieval
[bm25_only] Q020: 3.58s gen, 0.026s retrieval
[bm25_only] Q021: 9.52s gen, 0.020s retrieval
[bm25_only] Q022: 5.94s gen, 0.020s retrieval
[bm25_only] Q023: 9.91s gen, 0.028s retrieval
[bm25_only] Q024: 8.45s gen, 0.030s retrieval
[bm25_only] Q025: 8.83s gen, 0.026s retrieval
[bm25_only] Q026: 6.22s gen, 0.022s retrieval
[bm25_only] Q027: 8.49s gen, 0.018s retrieval
[bm25_only] Q028: 4.07s gen, 0.015s retrieval
[bm25_only] Q029: 7.60s gen, 0.019s retrieval
[bm25_only] Q030: 4.69s gen, 0.021s retrieval
[bm25_only] Q031: 17.51s gen, 0.026s retrieval
[bm25_only] Q032: 4.02s gen, 0.016s retrieval
[bm25_only] Q033: 11.51s gen, 0.019s retrieval
[bm25_only] Q034: 7.55s gen, 0.022s retrieval
[bm25_only] Q035: 7.14s gen, 0.022s retrieval
[bm25_only] Q036: 4.28s gen, 0.022s retrieval
[bm25_only] Q037: 8.42s gen, 0.020s retrieval
[bm25_only] Q038: 6.03s gen, 0.022s retrieval
[bm25_only] Q039: 5.46s gen, 0.018s retrieval
[bm25_only] Q040: 5.49s gen, 0.023s retrieval
[bm25_only] Q041: 9.15s gen, 0.024s retrieval
[bm25_only] Q042: 5.54s gen, 0.020s retrieval
[bm25_only] Q043: 6.18s gen, 0.017s retrieval
[bm25_only] Q044: 4.08s gen, 0.025s retrieval
[bm25_only] Q045: 7.83s gen, 0.014s retrieval
[bm25_only] Q046: 6.11s gen, 0.019s retrieval
[bm25_only] Q047: 12.72s gen, 0.030s retrieval
[bm25_only] Q048: 19.69s gen, 0.022s retrieval
[bm25_only] Q049: 5.82s gen, 0.028s retrieval
[bm25_only] Q050: 6.58s gen, 0.028s retrieval
[bm25_only] Q051: 8.31s gen, 0.020s retrieval
[bm25_only] Q052: 5.27s gen, 0.023s retrieval
[bm25_only] Q053: 3.92s gen, 0.026s retrieval
[bm25_only] Q054: 5.81s gen, 0.024s retrieval
[bm25_only] Q055: 4.83s gen, 0.019s retrieval
[bm25_only] Q056: 5.96s gen, 0.024s retrieval
[bm25_only] Q057: 4.49s gen, 0.017s retrieval
[bm25_only] Q058: 4.37s gen, 0.024s retrieval
[bm25_only] Q059: 18.53s gen, 0.032s retrieval
[bm25_only] Q060: 14.85s gen, 0.031s retrieval
[bm25_only] Q061: 7.16s gen, 0.017s retrieval
[bm25_only] Q062: 8.72s gen, 0.022s retrieval
[bm25_only] Q063: 6.75s gen, 0.030s retrieval
[bm25_only] Q064: 7.23s gen, 0.024s retrieval
[bm25_only] Q065: 3.88s gen, 0.022s retrieval
[bm25_only] Q066: 7.88s gen, 0.019s retrieval
[bm25_only] Q067: 9.94s gen, 0.022s retrieval
[bm25_only] Q068: 5.65s gen, 0.022s retrieval
[bm25_only] Q069: 8.95s gen, 0.021s retrieval
[bm25_only] Q070: 6.13s gen, 0.027s retrieval
[bm25_only] Q071: 7.84s gen, 0.039s retrieval
[bm25_only] Q072: 11.41s gen, 0.021s retrieval
[bm25_only] Q073: 21.96s gen, 0.022s retrieval
[bm25_only] Q074: 4.73s gen, 0.023s retrieval
[bm25_only] Q075: 6.42s gen, 0.021s retrieval
[bm25_only] Q076: 7.71s gen, 0.021s retrieval
[bm25_only] Q077: 3.55s gen, 0.021s retrieval
[bm25_only] Q078: 5.18s gen, 0.023s retrieval
[bm25_only] Q079: 5.78s gen, 0.021s retrieval
[bm25_only] Q080: 7.81s gen, 0.020s retrieval
[bm25_only] Q081: 5.73s gen, 0.017s retrieval
[bm25_only] Q082: 6.20s gen, 0.033s retrieval
[bm25_only] Q083: 7.09s gen, 0.023s retrieval
[bm25_only] Q084: 7.59s gen, 0.030s retrieval
[bm25_only] Q085: 8.02s gen, 0.026s retrieval
[bm25_only] Q086: 7.24s gen, 0.026s retrieval
[bm25_only] Q087: 8.48s gen, 0.023s retrieval
[bm25_only] Q088: 7.13s gen, 0.021s retrieval
[bm25_only] Q089: 6.51s gen, 0.017s retrieval
[bm25_only] Q090: 7.30s gen, 0.029s retrieval
[bm25_only] Q091: 6.40s gen, 0.023s retrieval
[bm25_only] Q092: 9.16s gen, 0.022s retrieval
[bm25_only] Q093: 11.35s gen, 0.028s retrieval
[bm25_only] Q094: 5.86s gen, 0.023s retrieval
[bm25_only] Q095: 5.15s gen, 0.018s retrieval
[bm25_only] Q096: 4.80s gen, 0.019s retrieval
[bm25_only] Q097: 8.49s gen, 0.018s retrieval
[bm25_only] Q098: 6.84s gen, 0.021s retrieval
[bm25_only] Q099: 8.07s gen, 0.026s retrieval
[bm25_only] Q100: 6.99s gen, 0.024s retrieval
[bm25_only] Q101: 5.01s gen, 0.017s retrieval
[bm25_only] Q102: 4.37s gen, 0.017s retrieval
[bm25_only] Q103: 6.58s gen, 0.014s retrieval
[bm25_only] Q104: 5.79s gen, 0.016s retrieval
[bm25_only] Q105: 3.72s gen, 0.016s retrieval
[bm25_only] Q106: 4.58s gen, 0.014s retrieval
[bm25_only] Q107: 4.97s gen, 0.022s retrieval
[bm25_only] Q108: 4.07s gen, 0.016s retrieval
[bm25_only] Q109: 4.00s gen, 0.018s retrieval
[bm25_only] Q110: 4.38s gen, 0.024s retrieval
[bm25_only] Q111: 5.97s gen, 0.014s retrieval
[bm25_only] Q112: 5.26s gen, 0.019s retrieval
[bm25_only] Q113: 3.72s gen, 0.019s retrieval
[bm25_only] Q114: 5.24s gen, 0.014s retrieval
[bm25_only] Q115: 4.80s gen, 0.016s retrieval
[bm25_only] Q116: 4.77s gen, 0.017s retrieval
[bm25_only] Q117: 6.51s gen, 0.018s retrieval
[bm25_only] Q118: 4.21s gen, 0.017s retrieval
[bm25_only] Q119: 3.99s gen, 0.017s retrieval
[bm25_only] Q120: 4.47s gen, 0.019s retrieval
