.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] BQ021: 5.40s gen, 0.025s retrieval
[bm25_only] BQ022: 6.06s gen, 0.028s retrieval
[bm25_only] BQ023: 5.96s gen, 0.028s retrieval
[bm25_only] BQ024: 4.78s gen, 0.028s retrieval
[bm25_only] BQ025: 5.83s gen, 0.032s retrieval
[bm25_only] BQ026: 7.25s gen, 0.026s retrieval
[bm25_only] BQ027: 8.76s gen, 0.029s retrieval
[bm25_only] BQ028: 4.02s gen, 0.022s retrieval
[bm25_only] BQ029: 6.33s gen, 0.030s retrieval
[bm25_only] BQ030: 4.58s gen, 0.026s retrieval
[bm25_only] BQ031: 8.97s gen, 0.022s retrieval
[bm25_only] BQ032: 3.72s gen, 0.021s retrieval
[bm25_only] BQ033: 3.96s gen, 0.023s retrieval
[bm25_only] BQ034: 8.68s gen, 0.024s retrieval
[bm25_only] BQ035: 7.22s gen, 0.024s retrieval
[bm25_only] BQ036: 5.25s gen, 0.023s retrieval
[bm25_only] BQ037: 6.05s gen, 0.024s retrieval
[bm25_only] BQ038: 4.98s gen, 0.034s retrieval
[bm25_only] BQ039: 4.16s gen, 0.023s retrieval
[bm25_only] BQ040: 8.35s gen, 0.031s retrieval
[bm25_only] BQ041: 9.08s gen, 0.024s retrieval
[bm25_only] BQ042: 4.62s gen, 0.025s retrieval
[bm25_only] BQ043: 3.83s gen, 0.022s retrieval
[bm25_only] BQ044: 7.42s gen, 0.029s retrieval
[bm25_only] BQ045: 4.89s gen, 0.030s retrieval
[bm25_only] BQ046: 6.93s gen, 0.027s retrieval
[bm25_only] BQ047: 8.58s gen, 0.027s retrieval
[bm25_only] BQ048: 8.18s gen, 0.027s retrieval
[bm25_only] BQ049: 6.40s gen, 0.024s retrieval
[bm25_only] BQ050: 5.03s gen, 0.020s retrieval
[bm25_only] BQ051: 5.41s gen, 0.024s retrieval
[bm25_only] BQ052: 5.16s gen, 0.026s retrieval
[bm25_only] BQ053: 8.50s gen, 0.023s retrieval
[bm25_only] BQ054: 11.35s gen, 0.026s retrieval
[bm25_only] BQ055: 11.96s gen, 0.024s retrieval
[bm25_only] BQ056: 5.87s gen, 0.030s retrieval
[bm25_only] BQ057: 6.56s gen, 0.030s retrieval
[bm25_only] BQ058: 4.20s gen, 0.026s retrieval
[bm25_only] BQ059: 9.45s gen, 0.030s retrieval
[bm25_only] BQ060: 14.87s gen, 0.025s retrieval
[bm25_only] BQ061: 6.16s gen, 0.023s retrieval
[bm25_only] BQ062: 6.94s gen, 0.026s retrieval
[bm25_only] BQ063: 6.35s gen, 0.020s retrieval
[bm25_only] BQ064: 6.52s gen, 0.022s retrieval
[bm25_only] BQ065: 11.41s gen, 0.024s retrieval
[bm25_only] BQ066: 9.28s gen, 0.030s retrieval
[bm25_only] BQ067: 9.20s gen, 0.026s retrieval
[bm25_only] BQ068: 4.78s gen, 0.026s retrieval
[bm25_only] BQ069: 4.26s gen, 0.022s retrieval
[bm25_only] BQ070: 17.66s gen, 0.026s retrieval
[bm25_only] BQ071: 9.16s gen, 0.025s retrieval
[bm25_only] BQ072: 6.39s gen, 0.021s retrieval
[bm25_only] BQ073: 10.66s gen, 0.024s retrieval
[bm25_only] BQ074: 6.41s gen, 0.023s retrieval
[bm25_only] BQ075: 5.88s gen, 0.021s retrieval
[bm25_only] BQ076: 7.96s gen, 0.023s retrieval
[bm25_only] BQ077: 8.49s gen, 0.028s retrieval
[bm25_only] BQ078: 6.26s gen, 0.027s retrieval
[bm25_only] BQ079: 6.37s gen, 0.023s retrieval
[bm25_only] BQ080: 7.94s gen, 0.026s retrieval
[bm25_only] BQ081: 6.01s gen, 0.024s retrieval
[bm25_only] BQ082: 8.76s gen, 0.029s retrieval
[bm25_only] BQ083: 3.70s gen, 0.024s retrieval
[bm25_only] BQ084: 5.91s gen, 0.021s retrieval
[bm25_only] BQ085: 7.82s gen, 0.027s retrieval
[bm25_only] BQ086: 4.33s gen, 0.024s retrieval
[bm25_only] BQ087: 8.12s gen, 0.031s retrieval
[bm25_only] BQ088: 15.11s gen, 0.023s retrieval
[bm25_only] BQ089: 12.46s gen, 0.024s retrieval
[bm25_only] BQ090: 9.02s gen, 0.030s retrieval
[bm25_only] BQ091: 10.18s gen, 0.024s retrieval
[bm25_only] BQ092: 6.11s gen, 0.024s retrieval
[bm25_only] BQ093: 11.19s gen, 0.022s retrieval
[bm25_only] BQ094: 5.15s gen, 0.025s retrieval
[bm25_only] BQ095: 5.33s gen, 0.026s retrieval
[bm25_only] BQ096: 7.29s gen, 0.024s retrieval
[bm25_only] BQ097: 6.47s gen, 0.034s retrieval
[bm25_only] BQ098: 9.92s gen, 0.030s retrieval
[bm25_only] BQ099: 5.98s gen, 0.025s retrieval
[bm25_only] BQ100: 7.01s gen, 0.030s retrieval
[vector_only] BQ001: 8.28s gen, 0.027s retrieval
[vector_only] BQ002: 3.94s gen, 0.026s retrieval
[vector_only] BQ003: 5.34s gen, 0.026s retrieval
[vector_only] BQ004: 3.73s gen, 0.022s retrieval
[vector_only] BQ005: 5.26s gen, 0.025s retrieval
[vector_only] BQ006: 5.07s gen, 0.027s retrieval
[vector_only] BQ007: 5.13s gen, 0.017s retrieval
[vector_only] BQ008: 3.74s gen, 0.023s retrieval
[vector_only] BQ009: 3.90s gen, 0.026s retrieval
[vector_only] BQ010: 5.50s gen, 0.021s retrieval
