query_id,config,is_entity_heavy,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q127,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q128,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q129,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q130,colbert_external,True,1.0,1.0,1.0,1.0,1.0,0.9842184869190973
Q131,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q132,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q133,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q134,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q135,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q136,colbert_external,True,0.0,1.0,1.0,0.3333333333333333,0.5,0.5
Q137,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q138,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q139,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q140,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q141,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q142,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q143,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q144,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q145,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q146,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q147,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q148,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q149,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q150,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q151,colbert_external,True,1.0,1.0,1.0,1.0,0.8539316501572937,0.9605291479810893
Q152,colbert_external,True,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q153,colbert_external,True,0.0,0.0,1.0,0.2,0.18154179253735267,0.4792350074047671
Q154,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q155,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q156,colbert_external,True,0.0,1.0,1.0,0.5,0.5296347172140421,0.7447855140948257
Q157,colbert_external,True,0.0,1.0,1.0,0.3333333333333333,0.5,0.5
Q158,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q159,colbert_external,True,0.0,1.0,1.0,0.5,0.4912596920895758,0.7023523796788049
Q160,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q161,colbert_external,True,1.0,1.0,1.0,1.0,0.7860137352654724,0.8981192674612325
Q162,colbert_external,True,0.0,1.0,1.0,0.5,0.44149241373678083,0.7106752765782569
Q163,colbert_external,True,0.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575
Q164,colbert_external,True,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q165,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q166,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q167,colbert_external,True,1.0,1.0,1.0,1.0,0.787702056960637,0.9267582364714126
Q168,colbert_external,True,1.0,1.0,1.0,1.0,0.7227265726449519,0.9242560749182924
Q169,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q170,colbert_external,True,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q171,colbert_external,True,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q172,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q173,colbert_external,True,1.0,1.0,1.0,1.0,0.5413996682199069,0.8036070421010475
Q174,colbert_external,True,0.0,0.0,1.0,0.25,0.2640681225725909,0.46845052016107697
Q175,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q176,colbert_external,True,0.0,1.0,1.0,0.5,0.2960819109658652,0.5988943393645153
Q177,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q178,colbert_external,True,1.0,1.0,1.0,1.0,0.6131471927654584,0.7977228895450266
Q179,colbert_external,True,1.0,1.0,1.0,1.0,0.3903800499921017,0.7701035286296694
Q180,colbert_external,True,1.0,1.0,1.0,1.0,0.7227265726449519,0.9427731067700877
Q181,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q182,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q183,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q184,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q185,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q186,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q187,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q188,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q189,colbert_external,True,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q190,colbert_external,True,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q191,colbert_external,True,1.0,1.0,1.0,1.0,0.7095272044910244,0.8485833840018
Q192,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q193,colbert_external,True,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q194,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q195,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q196,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q197,colbert_external,True,1.0,1.0,1.0,1.0,0.9047172294870751,0.9047172294870751
Q198,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q199,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q200,colbert_external,True,1.0,1.0,1.0,1.0,0.9047172294870751,0.9047172294870751
